Start time: 1730578342457
[2024-11-02T13:12:23.986100-0700] nuttcp-t: v8.1.4: socket
[2024-11-02T13:12:23.987076-0700] nuttcp-t: buflen=65536, nstream=1, port=5102 tcp -> 54.176.53.206
[2024-11-02T13:12:23.987219-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-02T13:12:23.987331-0700] nuttcp-t: connect to 54.176.53.206 with mss=1378, RTT=90.253 ms af=inet
[2024-11-02T13:12:23.987437-0700] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-02T13:12:23.987493-0700] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-02T13:12:23.987547-0700] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-02T13:12:23.987601-0700] nuttcp-r: v6.1.2: socket
[2024-11-02T13:12:23.987655-0700] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-02T13:12:23.987711-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T13:12:23.987800-0700] nuttcp-r: accept from 107.115.44.161
[2024-11-02T13:12:23.987884-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-02T13:12:23.987969-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-02T13:12:23.988076-0700]     0.0625 MB /   0.50 sec =    1.0485 Mbps    14 retrans     82 KB-cwnd
[2024-11-02T13:12:24.400608-0700]     0.6875 MB /   0.50 sec =   11.5346 Mbps     0 retrans     86 KB-cwnd
[2024-11-02T13:12:24.794871-0700]     0.8125 MB /   0.50 sec =   13.6317 Mbps     0 retrans     90 KB-cwnd
[2024-11-02T13:12:25.195203-0700]     0.8750 MB /   0.50 sec =   14.6793 Mbps     0 retrans    107 KB-cwnd
[2024-11-02T13:12:25.595906-0700]     1.2500 MB /   0.50 sec =   20.9722 Mbps     0 retrans    384 KB-cwnd
[2024-11-02T13:12:26.195415-0700]     1.6875 MB /   0.50 sec =   28.3119 Mbps     0 retrans    648 KB-cwnd
[2024-11-02T13:12:26.906474-0700]     1.6250 MB /   0.50 sec =   27.2626 Mbps     0 retrans    784 KB-cwnd
[2024-11-02T13:12:27.374076-0700]     1.6250 MB /   0.50 sec =   27.2634 Mbps     0 retrans    784 KB-cwnd
[2024-11-02T13:12:27.889699-0700]     1.6875 MB /   0.50 sec =   28.3116 Mbps     0 retrans    784 KB-cwnd
[2024-11-02T13:12:28.445787-0700]     1.5000 MB /   0.50 sec =   25.1659 Mbps     0 retrans    784 KB-cwnd
[2024-11-02T13:12:31.207064-0700]     1.5625 MB /   0.50 sec =   26.2142 Mbps     2 retrans    795 KB-cwnd
[2024-11-02T13:12:31.207344-0700]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans    795 KB-cwnd
[2024-11-02T13:12:31.207399-0700]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans    795 KB-cwnd
[2024-11-02T13:12:32.055689-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:32.056090-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:32.056216-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:32.056300-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:32.056377-0700]     0.5000 MB /   0.50 sec =    8.3888 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:33.592921-0700]     0.6250 MB /   0.50 sec =   10.4858 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:33.593409-0700]     0.5625 MB /   0.50 sec =    9.4369 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:33.593635-0700]     0.5625 MB /   0.50 sec =    9.4366 Mbps     0 retrans    858 KB-cwnd
[2024-11-02T13:12:35.203604-0700]     0.5625 MB /   0.50 sec =    9.4377 Mbps     1 retrans    686 KB-cwnd
[2024-11-02T13:12:35.204093-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans    686 KB-cwnd
