Start time: 1730588199370
[2024-11-02T16:56:40.471804-0600] nuttcp-r: v8.1.4: socket
[2024-11-02T16:56:40.472409-0600] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-02T16:56:40.472459-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T16:56:40.472498-0600] nuttcp-r: connect to 54.176.53.206 with RTT=89.588 ms af=inet
[2024-11-02T16:56:40.472538-0600] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-02T16:56:40.472574-0600] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-02T16:56:40.472610-0600]     0.0625 MB /   0.50 sec =    1.0477 Mbps     0 retrans
[2024-11-02T16:56:40.971082-0600]     0.5625 MB /   0.50 sec =    9.4442 Mbps     0 retrans
[2024-11-02T16:56:41.473160-0600]     0.3750 MB /   0.50 sec =    6.2726 Mbps     0 retrans
[2024-11-02T16:56:41.971860-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
[2024-11-02T16:56:42.472723-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
[2024-11-02T16:56:42.971523-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
[2024-11-02T16:56:43.472449-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
[2024-11-02T16:56:43.972365-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
[2024-11-02T16:56:44.471533-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
[2024-11-02T16:56:44.972428-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans
End time: 1730588205498
