Start time: 1730676553741
[2024-11-03T16:29:15.028791-0700] nuttcp-r: v8.1.4: socket
[2024-11-03T16:29:15.029395-0700] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-03T16:29:15.029431-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-03T16:29:15.029457-0700] nuttcp-r: connect to 54.176.53.206 with RTT=130.897 ms af=inet
[2024-11-03T16:29:15.029483-0700] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-03T16:29:15.029506-0700] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-03T16:29:15.029530-0700]     0.0000 MB /   0.50 sec =    0.0000 Mbps    -1 retrans
[2024-11-03T16:29:15.528724-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     1 retrans
[2024-11-03T16:29:16.028810-0700]     0.2500 MB /   0.50 sec =    4.1939 Mbps     0 retrans
[2024-11-03T16:29:16.528743-0700]     0.4375 MB /   0.50 sec =    7.3404 Mbps     0 retrans
[2024-11-03T16:29:17.028750-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans
[2024-11-03T16:29:17.528961-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans
[2024-11-03T16:29:18.028774-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans
[2024-11-03T16:29:18.528778-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans
[2024-11-03T16:29:19.028635-0700]     0.3125 MB /   0.50 sec =    5.2434 Mbps     0 retrans
[2024-11-03T16:29:19.528729-0700]     0.3125 MB /   0.50 sec =    5.2425 Mbps     0 retrans
End time: 1730676559866
