Start time: 1730697883147
[2024-11-03T22:24:43.342529-0700] PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
[2024-11-03T22:24:43.343027-0700] 46 bytes from 54.176.53.206: icmp_seq=1 ttl=53 time=91.8 ms
[2024-11-03T22:24:43.543687-0700] 46 bytes from 54.176.53.206: icmp_seq=2 ttl=53 time=92.5 ms
[2024-11-03T22:24:43.783582-0700] 46 bytes from 54.176.53.206: icmp_seq=3 ttl=53 time=131 ms
[2024-11-03T22:24:43.943471-0700] 46 bytes from 54.176.53.206: icmp_seq=4 ttl=53 time=90.4 ms
[2024-11-03T22:24:44.183849-0700] 46 bytes from 54.176.53.206: icmp_seq=5 ttl=53 time=129 ms
[2024-11-03T22:24:44.343785-0700] 46 bytes from 54.176.53.206: icmp_seq=6 ttl=53 time=89.5 ms
[2024-11-03T22:24:44.583690-0700] 46 bytes from 54.176.53.206: icmp_seq=7 ttl=53 time=128 ms
[2024-11-03T22:24:44.743860-0700] 46 bytes from 54.176.53.206: icmp_seq=8 ttl=53 time=87.4 ms
[2024-11-03T22:24:44.983621-0700] 46 bytes from 54.176.53.206: icmp_seq=9 ttl=53 time=126 ms
[2024-11-03T22:24:45.143716-0700] 46 bytes from 54.176.53.206: icmp_seq=10 ttl=53 time=85.5 ms
[2024-11-03T22:24:45.383565-0700] 46 bytes from 54.176.53.206: icmp_seq=11 ttl=53 time=124 ms
[2024-11-03T22:24:45.543862-0700] 46 bytes from 54.176.53.206: icmp_seq=12 ttl=53 time=83.5 ms
[2024-11-03T22:24:45.731111-0700] 46 bytes from 54.176.53.206: icmp_seq=13 ttl=53 time=70.7 ms
[2024-11-03T22:24:45.943615-0700] 46 bytes from 54.176.53.206: icmp_seq=14 ttl=53 time=82.9 ms
[2024-11-03T22:24:46.171928-0700] 46 bytes from 54.176.53.206: icmp_seq=15 ttl=53 time=110 ms
[2024-11-03T22:24:46.343715-0700] 46 bytes from 54.176.53.206: icmp_seq=16 ttl=53 time=82.1 ms
