Start time: 1730748147503
[2024-11-04T12:22:29.299830-0700] nuttcp-t: v8.1.4: socket
[2024-11-04T12:22:29.300496-0700] nuttcp-t: buflen=65536, nstream=1, port=5102 tcp -> 54.176.53.206
[2024-11-04T12:22:29.300542-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-04T12:22:29.300574-0700] nuttcp-t: connect to 54.176.53.206 with mss=1358, RTT=137.691 ms af=inet
[2024-11-04T12:22:29.300605-0700] nuttcp-t: send window size = 1048576, receive window size = 4194304
[2024-11-04T12:22:29.300636-0700] nuttcp-t: available send window = 786432, available receive window = 3145728
[2024-11-04T12:22:29.300665-0700] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-04T12:22:29.300696-0700] nuttcp-r: v6.1.2: socket
[2024-11-04T12:22:29.300725-0700] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-04T12:22:29.300753-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-04T12:22:29.300781-0700] nuttcp-r: accept from 108.147.35.129
[2024-11-04T12:22:29.300809-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-04T12:22:29.300845-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-04T12:22:29.300873-0700]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans    413 KB-cwnd
[2024-11-04T12:22:29.650586-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans    823 KB-cwnd
[2024-11-04T12:22:29.945667-0700]     0.6250 MB /   0.50 sec =   10.4859 Mbps     0 retrans   1192 KB-cwnd
[2024-11-04T12:22:30.597995-0700]     0.5000 MB /   0.50 sec =    8.3883 Mbps     0 retrans   1369 KB-cwnd
[2024-11-04T12:22:30.987616-0700]     0.5625 MB /   0.50 sec =    9.4376 Mbps     0 retrans   1369 KB-cwnd
[2024-11-04T12:22:31.622092-0700]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans   1369 KB-cwnd
[2024-11-04T12:22:31.884085-0700]     0.6250 MB /   0.50 sec =   10.4272 Mbps     0 retrans   1377 KB-cwnd
[2024-11-04T12:22:32.538890-0700]     0.5625 MB /   0.50 sec =    9.4905 Mbps     0 retrans   1377 KB-cwnd
[2024-11-04T12:22:32.888307-0700]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans   1377 KB-cwnd
[2024-11-04T12:22:33.569963-0700]     0.5000 MB /   0.50 sec =    8.3885 Mbps     0 retrans   1377 KB-cwnd
[2024-11-04T12:22:33.929482-0700]     0.5625 MB /   0.50 sec =    9.4374 Mbps     0 retrans   1377 KB-cwnd
