Start time: 1730833510722
[2024-11-05T13:05:10.966] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-05T13:05:10.967] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-05T13:05:11.026] - client - INFO - 46 bytes from 54.197.223.49: time=59.09 ms
[2024-11-05T13:05:11.315] - client - INFO - 46 bytes from 54.197.223.49: time=88.82 ms
[2024-11-05T13:05:11.597] - client - INFO - 46 bytes from 54.197.223.49: time=80.81 ms
[2024-11-05T13:05:11.876] - client - INFO - 46 bytes from 54.197.223.49: time=77.64 ms
[2024-11-05T13:05:12.157] - client - INFO - 46 bytes from 54.197.223.49: time=80.99 ms
[2024-11-05T13:05:12.438] - client - INFO - 46 bytes from 54.197.223.49: time=80.12 ms
[2024-11-05T13:05:12.719] - client - INFO - 46 bytes from 54.197.223.49: time=79.64 ms
[2024-11-05T13:05:13.005] - client - INFO - 46 bytes from 54.197.223.49: time=85.64 ms
[2024-11-05T13:05:13.291] - client - INFO - 46 bytes from 54.197.223.49: time=85.83 ms
[2024-11-05T13:05:13.558] - client - INFO - 46 bytes from 54.197.223.49: time=66.22 ms
[2024-11-05T13:05:13.837] - client - INFO - 46 bytes from 54.197.223.49: time=78.07 ms
[2024-11-05T13:05:14.107] - client - INFO - 46 bytes from 54.197.223.49: time=69.11 ms
[2024-11-05T13:05:14.379] - client - INFO - 46 bytes from 54.197.223.49: time=71.30 ms
[2024-11-05T13:05:14.679] - client - INFO - 46 bytes from 54.197.223.49: time=98.80 ms
[2024-11-05T13:05:15.014] - client - INFO - 46 bytes from 54.197.223.49: time=134.48 ms
[2024-11-05T13:05:15.317] - client - INFO - 46 bytes from 54.197.223.49: time=102.36 ms
[2024-11-05T13:05:15.598] - client - INFO - 46 bytes from 54.197.223.49: time=79.97 ms
[2024-11-05T13:05:15.973] - client - INFO - 46 bytes from 54.197.223.49: time=174.14 ms
[2024-11-05T13:05:16.257] - client - INFO - 46 bytes from 54.197.223.49: time=83.28 ms
[2024-11-05T13:05:16.547] - client - INFO - 46 bytes from 54.197.223.49: time=89.21 ms
[2024-11-05T13:05:16.839] - client - INFO - 46 bytes from 54.197.223.49: time=91.52 ms
[2024-11-05T13:05:17.128] - client - INFO - 46 bytes from 54.197.223.49: time=88.33 ms
[2024-11-05T13:05:17.398] - client - INFO - 46 bytes from 54.197.223.49: time=68.84 ms
[2024-11-05T13:05:17.733] - client - INFO - 46 bytes from 54.197.223.49: time=134.54 ms
[2024-11-05T13:05:18.017] - client - INFO - 46 bytes from 54.197.223.49: time=83.16 ms
[2024-11-05T13:05:18.308] - client - INFO - 46 bytes from 54.197.223.49: time=90.05 ms
[2024-11-05T13:05:18.692] - client - INFO - 46 bytes from 54.197.223.49: time=182.87 ms
[2024-11-05T13:05:18.967] - client - INFO - 46 bytes from 54.197.223.49: time=74.49 ms
[2024-11-05T13:05:19.237] - client - INFO - 46 bytes from 54.197.223.49: time=69.88 ms
[2024-11-05T13:05:19.518] - client - INFO - 46 bytes from 54.197.223.49: time=79.60 ms
[2024-11-05T13:05:19.787] - client - INFO - 46 bytes from 54.197.223.49: time=68.20 ms
[2024-11-05T13:05:20.067] - client - INFO - 46 bytes from 54.197.223.49: time=79.61 ms
[2024-11-05T13:05:20.358] - client - INFO - 46 bytes from 54.197.223.49: time=89.25 ms
[2024-11-05T13:05:20.647] - client - INFO - 46 bytes from 54.197.223.49: time=89.10 ms
[2024-11-05T13:05:20.918] - client - INFO - 46 bytes from 54.197.223.49: time=70.06 ms
[2024-11-05T13:05:21.197] - client - INFO - 46 bytes from 54.197.223.49: time=78.50 ms
[2024-11-05T13:05:21.475] - client - INFO - 46 bytes from 54.197.223.49: time=76.89 ms
[2024-11-05T13:05:21.757] - client - INFO - 46 bytes from 54.197.223.49: time=81.65 ms
[2024-11-05T13:05:22.037] - client - INFO - 46 bytes from 54.197.223.49: time=79.16 ms
[2024-11-05T13:05:22.317] - client - INFO - 46 bytes from 54.197.223.49: time=79.16 ms
[2024-11-05T13:05:22.597] - client - INFO - 46 bytes from 54.197.223.49: time=78.55 ms
[2024-11-05T13:05:22.877] - client - INFO - 46 bytes from 54.197.223.49: time=79.60 ms
[2024-11-05T13:05:23.157] - client - INFO - 46 bytes from 54.197.223.49: time=79.39 ms
[2024-11-05T13:05:23.440] - client - INFO - 46 bytes from 54.197.223.49: time=82.00 ms
[2024-11-05T13:05:23.717] - client - INFO - 46 bytes from 54.197.223.49: time=76.31 ms
[2024-11-05T13:05:24.005] - client - INFO - 46 bytes from 54.197.223.49: time=86.87 ms
[2024-11-05T13:05:24.277] - client - INFO - 46 bytes from 54.197.223.49: time=71.81 ms
[2024-11-05T13:05:24.557] - client - INFO - 46 bytes from 54.197.223.49: time=79.01 ms
[2024-11-05T13:05:24.840] - client - INFO - 46 bytes from 54.197.223.49: time=82.36 ms
[2024-11-05T13:05:25.127] - client - INFO - 46 bytes from 54.197.223.49: time=86.13 ms
[2024-11-05T13:05:25.397] - client - INFO - 46 bytes from 54.197.223.49: time=69.37 ms
[2024-11-05T13:05:25.678] - client - INFO - 46 bytes from 54.197.223.49: time=79.89 ms
[2024-11-05T13:05:25.957] - client - INFO - 46 bytes from 54.197.223.49: time=78.42 ms
[2024-11-05T13:05:26.237] - client - INFO - 46 bytes from 54.197.223.49: time=78.81 ms
[2024-11-05T13:05:26.517] - client - INFO - 46 bytes from 54.197.223.49: time=80.00 ms
[2024-11-05T13:05:26.785] - client - INFO - 46 bytes from 54.197.223.49: time=67.05 ms
[2024-11-05T13:05:27.076] - client - INFO - 46 bytes from 54.197.223.49: time=89.82 ms
[2024-11-05T13:05:27.358] - client - INFO - 46 bytes from 54.197.223.49: time=81.00 ms
[2024-11-05T13:05:27.637] - client - INFO - 46 bytes from 54.197.223.49: time=78.68 ms
[2024-11-05T13:05:27.917] - client - INFO - 46 bytes from 54.197.223.49: time=79.20 ms
[2024-11-05T13:05:28.197] - client - INFO - 46 bytes from 54.197.223.49: time=78.84 ms
[2024-11-05T13:05:28.477] - client - INFO - 46 bytes from 54.197.223.49: time=79.47 ms
[2024-11-05T13:05:28.757] - client - INFO - 46 bytes from 54.197.223.49: time=79.07 ms
[2024-11-05T13:05:29.037] - client - INFO - 46 bytes from 54.197.223.49: time=79.59 ms
[2024-11-05T13:05:29.333] - client - INFO - 46 bytes from 54.197.223.49: time=94.92 ms
[2024-11-05T13:05:29.618] - client - INFO - 46 bytes from 54.197.223.49: time=83.31 ms
[2024-11-05T13:05:29.887] - client - INFO - 46 bytes from 54.197.223.49: time=69.04 ms
[2024-11-05T13:05:30.175] - client - INFO - 46 bytes from 54.197.223.49: time=86.77 ms
[2024-11-05T13:05:30.447] - client - INFO - 46 bytes from 54.197.223.49: time=71.28 ms
[2024-11-05T13:05:30.728] - client - INFO - 46 bytes from 54.197.223.49: time=79.60 ms
[2024-11-05T13:05:30.997] - client - INFO - 46 bytes from 54.197.223.49: time=68.66 ms
[2024-11-05T13:05:31.277] - client - INFO - 46 bytes from 54.197.223.49: time=79.33 ms
[2024-11-05T13:05:31.557] - client - INFO - 46 bytes from 54.197.223.49: time=79.52 ms
[2024-11-05T13:05:31.846] - client - INFO - 46 bytes from 54.197.223.49: time=87.91 ms
[2024-11-05T13:05:32.118] - client - INFO - 46 bytes from 54.197.223.49: time=71.05 ms
[2024-11-05T13:05:32.405] - client - INFO - 46 bytes from 54.197.223.49: time=86.94 ms
[2024-11-05T13:05:32.677] - client - INFO - 46 bytes from 54.197.223.49: time=70.96 ms
[2024-11-05T13:05:32.957] - client - INFO - 46 bytes from 54.197.223.49: time=78.65 ms
[2024-11-05T13:05:33.238] - client - INFO - 46 bytes from 54.197.223.49: time=80.43 ms
[2024-11-05T13:05:33.518] - client - INFO - 46 bytes from 54.197.223.49: time=79.54 ms
[2024-11-05T13:05:33.798] - client - INFO - 46 bytes from 54.197.223.49: time=78.95 ms
[2024-11-05T13:05:34.077] - client - INFO - 46 bytes from 54.197.223.49: time=78.43 ms
[2024-11-05T13:05:34.357] - client - INFO - 46 bytes from 54.197.223.49: time=79.55 ms
[2024-11-05T13:05:34.637] - client - INFO - 46 bytes from 54.197.223.49: time=79.16 ms
[2024-11-05T13:05:34.918] - client - INFO - 46 bytes from 54.197.223.49: time=80.18 ms
[2024-11-05T13:05:35.198] - client - INFO - 46 bytes from 54.197.223.49: time=78.53 ms
[2024-11-05T13:05:35.478] - client - INFO - 46 bytes from 54.197.223.49: time=79.37 ms
[2024-11-05T13:05:35.759] - client - INFO - 46 bytes from 54.197.223.49: time=80.19 ms
[2024-11-05T13:05:36.037] - client - INFO - 46 bytes from 54.197.223.49: time=77.68 ms
[2024-11-05T13:05:36.318] - client - INFO - 46 bytes from 54.197.223.49: time=79.57 ms
[2024-11-05T13:05:36.599] - client - INFO - 46 bytes from 54.197.223.49: time=80.15 ms
[2024-11-05T13:05:36.884] - client - INFO - 46 bytes from 54.197.223.49: time=84.12 ms
[2024-11-05T13:05:37.157] - client - INFO - 46 bytes from 54.197.223.49: time=72.97 ms
[2024-11-05T13:05:37.437] - client - INFO - 46 bytes from 54.197.223.49: time=79.09 ms
[2024-11-05T13:05:37.717] - client - INFO - 46 bytes from 54.197.223.49: time=79.38 ms
[2024-11-05T13:05:37.998] - client - INFO - 46 bytes from 54.197.223.49: time=80.17 ms
[2024-11-05T13:05:38.277] - client - INFO - 46 bytes from 54.197.223.49: time=78.48 ms
[2024-11-05T13:05:38.557] - client - INFO - 46 bytes from 54.197.223.49: time=79.46 ms
[2024-11-05T13:05:38.837] - client - INFO - 46 bytes from 54.197.223.49: time=78.91 ms
[2024-11-05T13:05:39.117] - client - INFO - 46 bytes from 54.197.223.49: time=79.36 ms
[2024-11-05T13:05:39.397] - client - INFO - 46 bytes from 54.197.223.49: time=78.75 ms
[2024-11-05T13:05:39.677] - client - INFO - 46 bytes from 54.197.223.49: time=79.93 ms
[2024-11-05T13:05:39.957] - client - INFO - 46 bytes from 54.197.223.49: time=78.46 ms
[2024-11-05T13:05:40.237] - client - INFO - 46 bytes from 54.197.223.49: time=79.77 ms
[2024-11-05T13:05:40.517] - client - INFO - 46 bytes from 54.197.223.49: time=78.93 ms
[2024-11-05T13:05:40.797] - client - INFO - 46 bytes from 54.197.223.49: time=79.83 ms
[2024-11-05T13:05:41.077] - client - INFO - 46 bytes from 54.197.223.49: time=79.12 ms
