Start time: 1731081666366
[2024-11-08T11:01:07.440472-0500] nuttcp-t: v8.1.4: socket
[2024-11-08T11:01:07.441026-0500] nuttcp-t: buflen=65536, nstream=1, port=5102 tcp -> 54.197.223.49
[2024-11-08T11:01:07.441067-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-08T11:01:07.441095-0500] nuttcp-t: connect to 54.197.223.49 with mss=1378, RTT=44.936 ms af=inet
[2024-11-08T11:01:07.441123-0500] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-08T11:01:07.441149-0500] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-08T11:01:07.441175-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-08T11:01:07.441199-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T11:01:07.441224-0500] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-08T11:01:07.441248-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T11:01:07.441271-0500] nuttcp-r: accept from 166.194.191.33 with af=inet
[2024-11-08T11:01:07.441295-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-08T11:01:07.441319-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-08T11:01:07.441351-0500]     3.0000 MB /   0.50 sec =   50.3285 Mbps     0 retrans   2505 KB-cwnd
[2024-11-08T11:01:07.926741-0500]     5.5625 MB /   0.50 sec =   93.3186 Mbps     0 retrans   2675 KB-cwnd
[2024-11-08T11:01:08.390689-0500]     5.8125 MB /   0.50 sec =   97.4979 Mbps     0 retrans   2675 KB-cwnd
[2024-11-08T11:01:08.862437-0500]     5.6250 MB /   0.50 sec =   94.3847 Mbps     0 retrans   2675 KB-cwnd
[2024-11-08T11:01:09.328615-0500]     5.7500 MB /   0.50 sec =   96.4829 Mbps     0 retrans   2688 KB-cwnd
[2024-11-08T11:01:09.808004-0500]     5.6250 MB /   0.50 sec =   94.3735 Mbps     0 retrans   2688 KB-cwnd
[2024-11-08T11:01:10.270607-0500]     5.8750 MB /   0.50 sec =   98.5640 Mbps     0 retrans   2688 KB-cwnd
[2024-11-08T11:01:10.752016-0500]     5.5000 MB /   0.50 sec =   92.2743 Mbps     1 retrans   2150 KB-cwnd
[2024-11-08T11:01:11.245603-0500]     5.5000 MB /   0.50 sec =   92.2730 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:11.723730-0500]     5.6250 MB /   0.50 sec =   94.3758 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:12.226551-0500]     5.4375 MB /   0.50 sec =   91.2225 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:12.946461-0500]     5.5625 MB /   0.50 sec =   93.3244 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:13.421208-0500]     5.6250 MB /   0.50 sec =   94.3715 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:13.912833-0500]     5.3750 MB /   0.50 sec =   90.1783 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:14.410659-0500]     5.5000 MB /   0.50 sec =   92.2752 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:14.880628-0500]     5.6250 MB /   0.50 sec =   94.3701 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:15.345079-0500]     5.8125 MB /   0.50 sec =   97.5209 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:15.802233-0500]     5.8125 MB /   0.50 sec =   97.5164 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:16.257847-0500]     5.8750 MB /   0.50 sec =   98.5657 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:16.936784-0500]     5.7500 MB /   0.50 sec =   96.4694 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:17.404532-0500]     6.0000 MB /   0.50 sec =  100.6560 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:17.862339-0500]     5.8750 MB /   0.50 sec =   98.5711 Mbps     0 retrans   2150 KB-cwnd
[2024-11-08T11:01:18.316967-0500]     5.8125 MB /   0.50 sec =   97.5176 Mbps     1 retrans   1762 KB-cwnd
[2024-11-08T11:01:18.780948-0500]     5.8750 MB /   0.50 sec =   98.5535 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:19.266511-0500]     5.5000 MB /   0.50 sec =   92.2887 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:19.752567-0500]     5.5000 MB /   0.50 sec =   92.2743 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:20.450631-0500]     5.8125 MB /   0.50 sec =   97.5193 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:20.932798-0500]     5.7500 MB /   0.50 sec =   96.4686 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:21.392873-0500]     5.5625 MB /   0.50 sec =   93.3223 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:21.851175-0500]     5.9375 MB /   0.50 sec =   99.6121 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:22.314779-0500]     5.6875 MB /   0.50 sec =   95.4200 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:22.796920-0500]     5.6250 MB /   0.50 sec =   94.3737 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:23.247071-0500]     5.9375 MB /   0.50 sec =   99.6135 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:23.930531-0500]     5.8125 MB /   0.50 sec =   97.5189 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:24.394656-0500]     5.7500 MB /   0.50 sec =   96.4698 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:24.868137-0500]     5.6875 MB /   0.50 sec =   95.4177 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:25.318523-0500]     5.8125 MB /   0.50 sec =   97.5189 Mbps     0 retrans   1762 KB-cwnd
[2024-11-08T11:01:25.850695-0500]     5.5000 MB /   0.50 sec =   92.2756 Mbps     1 retrans   1408 KB-cwnd
[2024-11-08T11:01:26.304383-0500]     5.8750 MB /   0.50 sec =   98.5654 Mbps     0 retrans   1408 KB-cwnd
