Start time: 1730508574488
[2024-11-01T17:49:35.297280-0700] nuttcp-r: v8.1.4: socket
[2024-11-01T17:49:35.298116-0700] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-01T17:49:35.298176-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-01T17:49:35.298214-0700] nuttcp-r: connect to 54.176.53.206 with RTT=50.215 ms af=inet
[2024-11-01T17:49:35.298248-0700] nuttcp-r: send window size = 1048576, receive window size = 1048576
[2024-11-01T17:49:35.298283-0700] nuttcp-r: available send window = 786432, available receive window = 786432
[2024-11-01T17:49:35.298317-0700]     0.0000 MB /   0.50 sec =    0.0000 Mbps    -1 retrans
[2024-11-01T17:49:35.795590-0700]     0.0625 MB /   0.50 sec =    1.0521 Mbps     1 retrans
[2024-11-01T17:49:36.296178-0700]     0.0625 MB /   0.50 sec =    1.0478 Mbps     0 retrans
[2024-11-01T17:49:36.795112-0700]     0.0625 MB /   0.50 sec =    1.0496 Mbps     0 retrans
[2024-11-01T17:49:37.295103-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans
[2024-11-01T17:49:37.795099-0700]     0.1250 MB /   0.50 sec =    2.0970 Mbps     0 retrans
[2024-11-01T17:49:38.295069-0700]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans
[2024-11-01T17:49:38.795070-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans
[2024-11-01T17:49:39.295023-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans
[2024-11-01T17:49:39.795099-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans
[2024-11-01T17:49:40.296330-0700]     0.1250 MB /   0.50 sec =    2.0923 Mbps     0 retrans
End time: 1730508580587
