Start time: 1730510085602
[2024-11-01T18:14:46.495402-0700] nuttcp-t: v8.1.4: socket
[2024-11-01T18:14:46.496151-0700] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.176.53.206
[2024-11-01T18:14:46.496212-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-01T18:14:46.496245-0700] nuttcp-t: connect to 54.176.53.206 with mss=1448, RTT=39.130 ms af=inet
[2024-11-01T18:14:46.496275-0700] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-01T18:14:46.496308-0700] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-01T18:14:46.496341-0700] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-01T18:14:46.496373-0700] nuttcp-r: v6.1.2: socket
[2024-11-01T18:14:46.496401-0700] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-01T18:14:46.496431-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-01T18:14:46.496463-0700] nuttcp-r: accept from 98.97.56.94
[2024-11-01T18:14:46.496490-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-01T18:14:46.496520-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-01T18:14:46.496550-0700]     0.3125 MB /   0.50 sec =    5.2425 Mbps    20 retrans     90 KB-cwnd
[2024-11-01T18:14:47.370775-0700]     0.5000 MB /   0.50 sec =    8.3889 Mbps    16 retrans     26 KB-cwnd
[2024-11-01T18:14:48.633539-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     3 retrans     22 KB-cwnd
[2024-11-01T18:14:48.633976-0700]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans     22 KB-cwnd
[2024-11-01T18:14:48.634082-0700]     0.1250 MB /   0.50 sec =    2.0968 Mbps     0 retrans     22 KB-cwnd
[2024-11-01T18:14:49.439228-0700]     0.1875 MB /   0.50 sec =    3.1463 Mbps     2 retrans     45 KB-cwnd
[2024-11-01T18:14:49.439679-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     45 KB-cwnd
[2024-11-01T18:14:50.194840-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     3 retrans     32 KB-cwnd
[2024-11-01T18:14:51.560447-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps    14 retrans     32 KB-cwnd
[2024-11-01T18:14:51.560871-0700]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans     32 KB-cwnd
[2024-11-01T18:14:51.560989-0700]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     32 KB-cwnd
[2024-11-01T18:14:52.239223-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     38 KB-cwnd
[2024-11-01T18:14:52.935801-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     5 retrans     26 KB-cwnd
[2024-11-01T18:14:53.731468-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     1 retrans     25 KB-cwnd
[2024-11-01T18:14:53.732268-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     25 KB-cwnd
[2024-11-01T18:14:54.777800-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     3 retrans     21 KB-cwnd
[2024-11-01T18:14:54.778269-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans     21 KB-cwnd
[2024-11-01T18:14:55.891416-0700]     0.1875 MB /   0.50 sec =    3.1456 Mbps     1 retrans     26 KB-cwnd
[2024-11-01T18:14:55.891782-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     26 KB-cwnd
[2024-11-01T18:14:57.183582-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     3 retrans     24 KB-cwnd
[2024-11-01T18:14:57.184125-0700]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans     24 KB-cwnd
[2024-11-01T18:14:57.184273-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans     24 KB-cwnd
[2024-11-01T18:14:57.909126-0700]     0.1250 MB /   0.50 sec =    2.0968 Mbps     4 retrans     21 KB-cwnd
[2024-11-01T18:14:58.620994-0700]     0.2500 MB /   0.50 sec =    4.1950 Mbps     1 retrans     26 KB-cwnd
[2024-11-01T18:14:58.621539-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     0 retrans     26 KB-cwnd
[2024-11-01T18:14:59.382340-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     3 retrans     22 KB-cwnd
[2024-11-01T18:15:00.141881-0700]     0.1875 MB /   0.50 sec =    3.1459 Mbps     1 retrans     24 KB-cwnd
[2024-11-01T18:15:00.142505-0700]     0.2500 MB /   0.50 sec =    4.1940 Mbps     0 retrans     24 KB-cwnd
[2024-11-01T18:15:00.746886-0700]     0.3125 MB /   0.50 sec =    5.2432 Mbps     0 retrans     79 KB-cwnd
[2024-11-01T18:15:00.981216-0700]     0.4375 MB /   0.50 sec =    7.3391 Mbps    11 retrans     69 KB-cwnd
[2024-11-01T18:15:01.779922-0700]     0.6250 MB /   0.50 sec =   10.4860 Mbps     4 retrans     39 KB-cwnd
[2024-11-01T18:15:02.296360-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     2 retrans     35 KB-cwnd
[2024-11-01T18:15:02.774588-0700]     0.3750 MB /   0.50 sec =    6.2919 Mbps     0 retrans     41 KB-cwnd
[2024-11-01T18:15:03.282497-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     4 retrans     46 KB-cwnd
[2024-11-01T18:15:03.594915-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     1 retrans     39 KB-cwnd
[2024-11-01T18:15:04.048075-0700]     0.4375 MB /   0.50 sec =    7.3395 Mbps     0 retrans     43 KB-cwnd
[2024-11-01T18:15:04.466490-0700]     0.5000 MB /   0.50 sec =    8.3893 Mbps     0 retrans     48 KB-cwnd
[2024-11-01T18:15:05.552606-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps     7 retrans     21 KB-cwnd
[2024-11-01T18:15:05.553139-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     21 KB-cwnd
[2024-11-01T18:15:06.228180-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     33 KB-cwnd
[2024-11-01T18:15:06.601627-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     4 retrans     48 KB-cwnd
[2024-11-01T18:15:07.014569-0700]     0.4375 MB /   0.50 sec =    7.3399 Mbps     2 retrans     41 KB-cwnd
[2024-11-01T18:15:07.470126-0700]     0.4375 MB /   0.50 sec =    7.3404 Mbps     1 retrans     35 KB-cwnd
[2024-11-01T18:15:08.011221-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     5 retrans     31 KB-cwnd
[2024-11-01T18:15:08.573030-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     1 retrans     28 KB-cwnd
[2024-11-01T18:15:09.165035-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     2 retrans     26 KB-cwnd
[2024-11-01T18:15:09.796350-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     33 KB-cwnd
[2024-11-01T18:15:10.571252-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     5 retrans     25 KB-cwnd
[2024-11-01T18:15:10.571477-0700]     0.1875 MB /   0.50 sec =    3.1459 Mbps     0 retrans     26 KB-cwnd
[2024-11-01T18:15:11.505487-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     2 retrans     22 KB-cwnd
[2024-11-01T18:15:11.505985-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     22 KB-cwnd
[2024-11-01T18:15:12.494946-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     1 retrans     25 KB-cwnd
[2024-11-01T18:15:12.495134-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans     25 KB-cwnd
[2024-11-01T18:15:13.376667-0700]     0.1875 MB /   0.50 sec =    3.1452 Mbps     5 retrans     24 KB-cwnd
[2024-11-01T18:15:13.711936-0700]     0.2500 MB /   0.50 sec =    4.1949 Mbps     3 retrans     69 KB-cwnd
[2024-11-01T18:15:14.139980-0700]     0.5625 MB /   0.50 sec =    9.4370 Mbps    12 retrans     33 KB-cwnd
[2024-11-01T18:15:14.688893-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     1 retrans     31 KB-cwnd
[2024-11-01T18:15:15.228680-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     36 KB-cwnd
[2024-11-01T18:15:15.787052-0700]     0.3125 MB /   0.50 sec =    5.2427 Mbps     2 retrans     32 KB-cwnd
[2024-11-01T18:15:16.300987-0700]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans     38 KB-cwnd
[2024-11-01T18:15:16.925318-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     3 retrans     28 KB-cwnd
[2024-11-01T18:15:17.559101-0700]     0.3125 MB /   0.50 sec =    5.2427 Mbps     2 retrans     26 KB-cwnd
[2024-11-01T18:15:17.559281-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     26 KB-cwnd
[2024-11-01T18:15:18.239100-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     2 retrans     26 KB-cwnd
[2024-11-01T18:15:18.917604-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     1 retrans     26 KB-cwnd
[2024-11-01T18:15:19.391592-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     1 retrans     59 KB-cwnd
[2024-11-01T18:15:19.764997-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     3 retrans     38 KB-cwnd
[2024-11-01T18:15:20.162271-0700]     0.5625 MB /   0.50 sec =    9.4377 Mbps     0 retrans     42 KB-cwnd
[2024-11-01T18:15:20.592079-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps     1 retrans     36 KB-cwnd
[2024-11-01T18:15:20.999265-0700]     0.5000 MB /   0.50 sec =    8.3887 Mbps     0 retrans     42 KB-cwnd
[2024-11-01T18:15:21.800352-0700]     0.4375 MB /   0.50 sec =    7.3398 Mbps     1 retrans     41 KB-cwnd
[2024-11-01T18:15:22.256822-0700]     0.4375 MB /   0.50 sec =    7.3404 Mbps     2 retrans     33 KB-cwnd
[2024-11-01T18:15:22.713471-0700]     0.4375 MB /   0.50 sec =    7.3398 Mbps     0 retrans     39 KB-cwnd
[2024-11-01T18:15:23.116716-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     1 retrans     55 KB-cwnd
[2024-11-01T18:15:23.833529-0700]     0.6250 MB /   0.50 sec =   10.4859 Mbps     3 retrans     41 KB-cwnd
[2024-11-01T18:15:24.360269-0700]     0.4375 MB /   0.50 sec =    7.3399 Mbps     6 retrans     26 KB-cwnd
[2024-11-01T18:15:24.887266-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     0 retrans     32 KB-cwnd
[2024-11-01T18:15:25.439644-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     1 retrans     31 KB-cwnd
[2024-11-01T18:15:25.440050-0700]     0.3125 MB /   0.50 sec =    5.2431 Mbps     0 retrans     31 KB-cwnd
[2024-11-01T18:15:26.073030-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     1 retrans     31 KB-cwnd
[2024-11-01T18:15:26.520238-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     3 retrans     55 KB-cwnd
[2024-11-01T18:15:27.652679-0700]     0.6250 MB /   0.50 sec =   10.4828 Mbps    10 retrans     33 KB-cwnd
[2024-11-01T18:15:27.653201-0700]     0.1875 MB /   0.50 sec =    3.1467 Mbps     0 retrans     33 KB-cwnd
[2024-11-01T18:15:28.819153-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps    15 retrans     18 KB-cwnd
[2024-11-01T18:15:28.819520-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans     18 KB-cwnd
[2024-11-01T18:15:29.443231-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps    13 retrans     29 KB-cwnd
[2024-11-01T18:15:29.443546-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     29 KB-cwnd
[2024-11-01T18:15:30.466916-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps    14 retrans      8 KB-cwnd
[2024-11-01T18:15:30.467353-0700]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans      8 KB-cwnd
[2024-11-01T18:15:32.526865-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps    59 retrans     16 KB-cwnd
[2024-11-01T18:15:32.527335-0700]     0.0625 MB /   0.50 sec =    1.0484 Mbps     0 retrans     16 KB-cwnd
[2024-11-01T18:15:32.527476-0700]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     16 KB-cwnd
[2024-11-01T18:15:32.527592-0700]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans     16 KB-cwnd
[2024-11-01T18:15:33.552818-0700]     0.1250 MB /   0.50 sec =    2.0971 Mbps    16 retrans     22 KB-cwnd
[2024-11-01T18:15:33.553195-0700]     0.1875 MB /   0.50 sec =    3.1459 Mbps     0 retrans     22 KB-cwnd
[2024-11-01T18:15:34.506474-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps    10 retrans     31 KB-cwnd
[2024-11-01T18:15:34.506832-0700]     0.1875 MB /   0.50 sec =    3.1456 Mbps     0 retrans     31 KB-cwnd
[2024-11-01T18:15:35.096732-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     1 retrans     32 KB-cwnd
[2024-11-01T18:15:35.672915-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     3 retrans     22 KB-cwnd
[2024-11-01T18:15:37.383975-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps    25 retrans     15 KB-cwnd
[2024-11-01T18:15:37.384433-0700]     0.1250 MB /   0.50 sec =    2.0964 Mbps     0 retrans     15 KB-cwnd
[2024-11-01T18:15:37.384576-0700]     0.1250 MB /   0.50 sec =    2.0979 Mbps     0 retrans     15 KB-cwnd
[2024-11-01T18:15:38.224261-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     3 retrans     22 KB-cwnd
[2024-11-01T18:15:38.224776-0700]     0.2500 MB /   0.50 sec =    4.1940 Mbps     0 retrans     22 KB-cwnd
