Start time: 1730597037680
[2024-11-02T19:23:58.533124-0600] nuttcp-t: v8.1.4: socket
[2024-11-02T19:23:58.534129-0600] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.176.53.206
[2024-11-02T19:23:58.534251-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-02T19:23:58.534340-0600] nuttcp-t: connect to 54.176.53.206 with mss=1448, RTT=42.352 ms af=inet
[2024-11-02T19:23:58.534425-0600] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-02T19:23:58.534504-0600] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-02T19:23:58.534581-0600] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-02T19:23:58.534658-0600] nuttcp-r: v6.1.2: socket
[2024-11-02T19:23:58.534733-0600] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-02T19:23:58.534809-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T19:23:58.534934-0600] nuttcp-r: accept from 129.222.102.246
[2024-11-02T19:23:58.535012-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-02T19:23:58.535102-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-02T19:23:58.535193-0600]     0.6250 MB /   0.50 sec =   10.4849 Mbps    18 retrans     79 KB-cwnd
[2024-11-02T19:23:59.661927-0600]     0.6250 MB /   0.50 sec =   10.4862 Mbps    14 retrans     21 KB-cwnd
[2024-11-02T19:23:59.662378-0600]     0.1875 MB /   0.50 sec =    3.1456 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T19:24:01.546729-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     6 retrans     14 KB-cwnd
[2024-11-02T19:24:01.547195-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans     14 KB-cwnd
[2024-11-02T19:24:01.547427-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans     14 KB-cwnd
[2024-11-02T19:24:01.547641-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     14 KB-cwnd
[2024-11-02T19:24:02.124360-0600]     0.3750 MB /   0.50 sec =    6.2916 Mbps     6 retrans     67 KB-cwnd
[2024-11-02T19:24:03.453327-0600]     0.4375 MB /   0.50 sec =    7.3400 Mbps    10 retrans     21 KB-cwnd
[2024-11-02T19:24:03.453783-0600]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T19:24:05.368603-0600]     0.1875 MB /   0.50 sec =    3.1457 Mbps     8 retrans      7 KB-cwnd
