Start time: 1730605751971
[2024-11-02T21:49:12.996672-0600] nuttcp-t: v8.1.4: socket
[2024-11-02T21:49:12.997348-0600] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.176.53.206
[2024-11-02T21:49:12.997401-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-02T21:49:12.997436-0600] nuttcp-t: connect to 54.176.53.206 with mss=1448, RTT=45.520 ms af=inet
[2024-11-02T21:49:12.997473-0600] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-02T21:49:12.997503-0600] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-02T21:49:12.997533-0600] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-02T21:49:12.997695-0600] nuttcp-r: v6.1.2: socket
[2024-11-02T21:49:12.997738-0600] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-02T21:49:12.997768-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T21:49:12.997797-0600] nuttcp-r: accept from 66.9.181.188
[2024-11-02T21:49:12.997826-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-02T21:49:12.997854-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-02T21:49:12.997892-0600]     0.3125 MB /   0.50 sec =    5.2426 Mbps     4 retrans     28 KB-cwnd
[2024-11-02T21:49:14.338588-0600]     0.1875 MB /   0.50 sec =    3.1457 Mbps     8 retrans      7 KB-cwnd
[2024-11-02T21:49:14.338736-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:16.177450-0600]     0.0625 MB /   0.50 sec =    1.0484 Mbps     3 retrans     21 KB-cwnd
[2024-11-02T21:49:16.177867-0600]     0.1250 MB /   0.50 sec =    2.0974 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:16.177974-0600]     0.0625 MB /   0.50 sec =    1.0484 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:16.178058-0600]     0.1250 MB /   0.50 sec =    2.0976 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:18.762530-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     8 retrans      8 KB-cwnd
[2024-11-02T21:49:18.762866-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans      8 KB-cwnd
[2024-11-02T21:49:18.762910-0600]     0.1250 MB /   0.50 sec =    2.0973 Mbps     0 retrans      8 KB-cwnd
[2024-11-02T21:49:18.762947-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      8 KB-cwnd
[2024-11-02T21:49:18.762974-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      8 KB-cwnd
[2024-11-02T21:49:21.132037-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     7 retrans     21 KB-cwnd
[2024-11-02T21:49:21.132516-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:21.132628-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:21.132732-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:21.132819-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:22.780878-0600]     0.1250 MB /   0.50 sec =    2.0966 Mbps     7 retrans     19 KB-cwnd
[2024-11-02T21:49:22.781403-0600]     0.1875 MB /   0.50 sec =    3.1465 Mbps     0 retrans     19 KB-cwnd
[2024-11-02T21:49:22.781728-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     19 KB-cwnd
[2024-11-02T21:49:23.162657-0600]     0.1250 MB /   0.50 sec =    2.0971 Mbps     5 retrans     59 KB-cwnd
[2024-11-02T21:49:23.699305-0600]     0.5625 MB /   0.50 sec =    9.4376 Mbps     9 retrans     21 KB-cwnd
[2024-11-02T21:49:25.263361-0600]     0.2500 MB /   0.50 sec =    4.1943 Mbps     4 retrans     21 KB-cwnd
[2024-11-02T21:49:25.263891-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:25.263994-0600]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:27.456529-0600]     0.1250 MB /   0.50 sec =    2.0973 Mbps     9 retrans     12 KB-cwnd
[2024-11-02T21:49:27.456940-0600]     0.1250 MB /   0.50 sec =    2.0967 Mbps     0 retrans     12 KB-cwnd
[2024-11-02T21:49:27.457060-0600]     0.0625 MB /   0.50 sec =    1.0489 Mbps     0 retrans     12 KB-cwnd
[2024-11-02T21:49:27.457202-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans     12 KB-cwnd
[2024-11-02T21:49:27.457289-0600]     0.0625 MB /   0.50 sec =    1.0487 Mbps     0 retrans     12 KB-cwnd
[2024-11-02T21:49:28.805061-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     6 retrans     21 KB-cwnd
[2024-11-02T21:49:28.805476-0600]     0.1250 MB /   0.50 sec =    2.0970 Mbps     0 retrans     21 KB-cwnd
[2024-11-02T21:49:30.980577-0600]     0.2500 MB /   0.50 sec =    4.1945 Mbps    12 retrans      9 KB-cwnd
[2024-11-02T21:49:30.980754-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans      9 KB-cwnd
[2024-11-02T21:49:30.980787-0600]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans      9 KB-cwnd
[2024-11-02T21:49:30.980820-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans      9 KB-cwnd
[2024-11-02T21:49:30.980845-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      9 KB-cwnd
[2024-11-02T21:49:34.008117-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps    12 retrans     16 KB-cwnd
[2024-11-02T21:49:34.008411-0600]     0.0625 MB /   0.50 sec =    1.0484 Mbps     0 retrans     16 KB-cwnd
[2024-11-02T21:49:34.008461-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     16 KB-cwnd
[2024-11-02T21:49:34.008501-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans     16 KB-cwnd
[2024-11-02T21:49:34.008537-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     16 KB-cwnd
[2024-11-02T21:49:34.008574-0600]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans     16 KB-cwnd
[2024-11-02T21:49:36.719796-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps    10 retrans     11 KB-cwnd
[2024-11-02T21:49:36.720012-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     11 KB-cwnd
[2024-11-02T21:49:36.720049-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     11 KB-cwnd
[2024-11-02T21:49:36.720079-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     11 KB-cwnd
[2024-11-02T21:49:36.720105-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     11 KB-cwnd
[2024-11-02T21:49:38.918521-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps    11 retrans      7 KB-cwnd
[2024-11-02T21:49:38.919199-0600]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:38.919350-0600]     0.0625 MB /   0.50 sec =    1.0487 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:38.919469-0600]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:38.919581-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941114-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps    17 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941321-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941365-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941401-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941435-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941468-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941501-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:42.941540-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans      7 KB-cwnd
[2024-11-02T21:49:45.982013-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     9 retrans     14 KB-cwnd
[2024-11-02T21:49:45.982341-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     14 KB-cwnd
