Start time: 1730740982219
[2024-11-04T10:23:03.135569-0700] nuttcp-t: v8.1.4: socket
[2024-11-04T10:23:03.136387-0700] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.176.53.206
[2024-11-04T10:23:03.136459-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-04T10:23:03.136507-0700] nuttcp-t: connect to 54.176.53.206 with mss=1448, RTT=53.116 ms af=inet
[2024-11-04T10:23:03.136551-0700] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-04T10:23:03.136592-0700] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-04T10:23:03.136633-0700] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-04T10:23:03.136678-0700] nuttcp-r: v6.1.2: socket
[2024-11-04T10:23:03.136719-0700] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-04T10:23:03.136762-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-04T10:23:03.136804-0700] nuttcp-r: accept from 216.147.126.110
[2024-11-04T10:23:03.136846-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-04T10:23:03.136893-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-04T10:23:03.136935-0700]     1.1875 MB /   0.50 sec =   19.9217 Mbps     8 retrans    304 KB-cwnd
[2024-11-04T10:23:03.694052-0700]     1.9375 MB /   0.50 sec =   32.5065 Mbps     8 retrans     79 KB-cwnd
[2024-11-04T10:23:04.399726-0700]     0.7500 MB /   0.50 sec =   12.5830 Mbps     0 retrans     84 KB-cwnd
[2024-11-04T10:23:05.086410-0700]     0.6250 MB /   0.50 sec =   10.4854 Mbps     0 retrans     91 KB-cwnd
[2024-11-04T10:23:05.086645-0700]     0.6875 MB /   0.50 sec =   11.5345 Mbps     0 retrans     91 KB-cwnd
[2024-11-04T10:23:05.728259-0700]     0.6875 MB /   0.50 sec =   11.5339 Mbps     1 retrans    101 KB-cwnd
[2024-11-04T10:23:06.328010-0700]     0.8125 MB /   0.50 sec =   13.6319 Mbps     0 retrans    106 KB-cwnd
[2024-11-04T10:23:06.886964-0700]     0.8750 MB /   0.50 sec =   14.6801 Mbps     0 retrans    111 KB-cwnd
[2024-11-04T10:23:07.442683-0700]     0.8125 MB /   0.50 sec =   13.6317 Mbps     2 retrans    104 KB-cwnd
[2024-11-04T10:23:08.040957-0700]     0.8125 MB /   0.50 sec =   13.6317 Mbps     0 retrans    108 KB-cwnd
[2024-11-04T10:23:08.663458-0700]     0.7500 MB /   0.50 sec =   12.5827 Mbps     1 retrans     91 KB-cwnd
[2024-11-04T10:23:08.663817-0700]     0.8125 MB /   0.50 sec =   13.6312 Mbps     0 retrans     91 KB-cwnd
[2024-11-04T10:23:09.274608-0700]     0.7500 MB /   0.50 sec =   12.5832 Mbps     0 retrans     97 KB-cwnd
[2024-11-04T10:23:10.150264-0700]     0.6875 MB /   0.50 sec =   11.5342 Mbps     0 retrans    103 KB-cwnd
[2024-11-04T10:23:10.150689-0700]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans    103 KB-cwnd
[2024-11-04T10:23:11.038195-0700]     0.5000 MB /   0.50 sec =    8.3889 Mbps     2 retrans    121 KB-cwnd
[2024-11-04T10:23:11.874261-0700]     0.5625 MB /   0.50 sec =    9.4371 Mbps     2 retrans    101 KB-cwnd
[2024-11-04T10:23:11.874490-0700]     0.5625 MB /   0.50 sec =    9.4369 Mbps     0 retrans    101 KB-cwnd
[2024-11-04T10:23:12.764043-0700]     0.5000 MB /   0.50 sec =    8.3888 Mbps     3 retrans     66 KB-cwnd
[2024-11-04T10:23:12.764612-0700]     0.5000 MB /   0.50 sec =    8.3887 Mbps     0 retrans     66 KB-cwnd
[2024-11-04T10:23:13.990245-0700]     0.5000 MB /   0.50 sec =    8.3887 Mbps     2 retrans     49 KB-cwnd
[2024-11-04T10:23:13.990633-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     49 KB-cwnd
[2024-11-04T10:23:15.160579-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     2 retrans     50 KB-cwnd
[2024-11-04T10:23:15.161019-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:15.161259-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:16.897975-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     7 retrans     50 KB-cwnd
[2024-11-04T10:23:16.898360-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:16.898496-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:18.803441-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     2 retrans     49 KB-cwnd
[2024-11-04T10:23:18.803963-0700]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans     49 KB-cwnd
[2024-11-04T10:23:18.804114-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     49 KB-cwnd
[2024-11-04T10:23:18.804231-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     49 KB-cwnd
[2024-11-04T10:23:20.190959-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     4 retrans     39 KB-cwnd
[2024-11-04T10:23:20.191511-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans     39 KB-cwnd
[2024-11-04T10:23:20.191647-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     39 KB-cwnd
[2024-11-04T10:23:21.446771-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     4 retrans    106 KB-cwnd
[2024-11-04T10:23:21.447263-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans    106 KB-cwnd
[2024-11-04T10:23:22.209895-0700]     0.5625 MB /   0.50 sec =    9.4371 Mbps     7 retrans     45 KB-cwnd
[2024-11-04T10:23:22.210477-0700]     0.6875 MB /   0.50 sec =   11.5346 Mbps     0 retrans     45 KB-cwnd
[2024-11-04T10:23:23.486528-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     6 retrans     45 KB-cwnd
[2024-11-04T10:23:23.486800-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     45 KB-cwnd
[2024-11-04T10:23:25.211849-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     8 retrans     31 KB-cwnd
[2024-11-04T10:23:25.212344-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     31 KB-cwnd
[2024-11-04T10:23:25.212489-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     31 KB-cwnd
[2024-11-04T10:23:25.212605-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     31 KB-cwnd
[2024-11-04T10:23:26.210744-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps    11 retrans     70 KB-cwnd
[2024-11-04T10:23:26.211247-0700]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans     70 KB-cwnd
[2024-11-04T10:23:27.360702-0700]     0.6875 MB /   0.50 sec =   11.5336 Mbps     4 retrans     48 KB-cwnd
[2024-11-04T10:23:27.361102-0700]     0.3125 MB /   0.50 sec =    5.2432 Mbps     0 retrans     48 KB-cwnd
[2024-11-04T10:23:28.557576-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     2 retrans     96 KB-cwnd
[2024-11-04T10:23:28.557937-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans     96 KB-cwnd
[2024-11-04T10:23:29.489590-0700]     0.5000 MB /   0.50 sec =    8.3887 Mbps     6 retrans     52 KB-cwnd
[2024-11-04T10:23:29.489848-0700]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans     52 KB-cwnd
[2024-11-04T10:23:30.577239-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     3 retrans    107 KB-cwnd
[2024-11-04T10:23:30.577709-0700]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans    107 KB-cwnd
[2024-11-04T10:23:31.289504-0700]     0.5000 MB /   0.50 sec =    8.3852 Mbps     5 retrans     56 KB-cwnd
[2024-11-04T10:23:31.290020-0700]     0.6250 MB /   0.50 sec =   10.4894 Mbps     0 retrans     56 KB-cwnd
[2024-11-04T10:23:32.434096-0700]     0.5000 MB /   0.50 sec =    8.3889 Mbps     1 retrans     52 KB-cwnd
[2024-11-04T10:23:32.434627-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans     52 KB-cwnd
[2024-11-04T10:23:33.499926-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     2 retrans     56 KB-cwnd
[2024-11-04T10:23:33.500423-0700]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans     56 KB-cwnd
[2024-11-04T10:23:34.601889-0700]     0.5625 MB /   0.50 sec =    9.4375 Mbps     1 retrans     50 KB-cwnd
[2024-11-04T10:23:34.602351-0700]     0.3750 MB /   0.50 sec =    6.2912 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:34.602464-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:35.898580-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     2 retrans     50 KB-cwnd
[2024-11-04T10:23:35.899084-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:37.114334-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     1 retrans     50 KB-cwnd
[2024-11-04T10:23:37.114973-0700]     0.3750 MB /   0.50 sec =    6.2912 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:37.115122-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     50 KB-cwnd
[2024-11-04T10:23:38.223916-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans    107 KB-cwnd
[2024-11-04T10:23:38.224342-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans    107 KB-cwnd
[2024-11-04T10:23:38.926289-0700]     0.6250 MB /   0.50 sec =   10.4858 Mbps     5 retrans     79 KB-cwnd
[2024-11-04T10:23:39.955658-0700]     0.6250 MB /   0.50 sec =   10.4856 Mbps     2 retrans     69 KB-cwnd
[2024-11-04T10:23:39.956172-0700]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans     69 KB-cwnd
[2024-11-04T10:23:41.229830-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     76 KB-cwnd
[2024-11-04T10:23:41.230192-0700]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     76 KB-cwnd
[2024-11-04T10:23:41.230293-0700]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans     76 KB-cwnd
[2024-11-04T10:23:42.588454-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps     2 retrans     56 KB-cwnd
[2024-11-04T10:23:42.588897-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     56 KB-cwnd
[2024-11-04T10:23:42.589005-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     56 KB-cwnd
[2024-11-04T10:23:43.553788-0700]     0.5000 MB /   0.50 sec =    8.3882 Mbps     0 retrans     66 KB-cwnd
[2024-11-04T10:23:44.171512-0700]     0.5000 MB /   0.50 sec =    8.3874 Mbps     1 retrans    134 KB-cwnd
[2024-11-04T10:23:44.171877-0700]     0.6875 MB /   0.50 sec =   11.5359 Mbps     0 retrans    134 KB-cwnd
[2024-11-04T10:23:44.671715-0700]     0.9375 MB /   0.50 sec =   15.7289 Mbps     1 retrans    113 KB-cwnd
[2024-11-04T10:23:45.331347-0700]     0.7500 MB /   0.50 sec =   12.5832 Mbps     1 retrans     94 KB-cwnd
[2024-11-04T10:23:46.113489-0700]     0.7500 MB /   0.50 sec =   12.5828 Mbps     4 retrans     79 KB-cwnd
[2024-11-04T10:23:46.114048-0700]     0.5000 MB /   0.50 sec =    8.3878 Mbps     0 retrans     79 KB-cwnd
[2024-11-04T10:23:47.242180-0700]     0.5000 MB /   0.50 sec =    8.3890 Mbps    22 retrans     70 KB-cwnd
[2024-11-04T10:23:47.242640-0700]     0.3750 MB /   0.50 sec =    6.2918 Mbps     0 retrans     70 KB-cwnd
