Start time: 1730748274629
[2024-11-04T12:24:34.740974-0700] PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
[2024-11-04T12:24:34.741909-0700] 46 bytes from 54.176.53.206: icmp_seq=1 ttl=57 time=55.6 ms
[2024-11-04T12:24:34.933557-0700] 46 bytes from 54.176.53.206: icmp_seq=2 ttl=57 time=49.4 ms
[2024-11-04T12:24:35.134328-0700] 46 bytes from 54.176.53.206: icmp_seq=3 ttl=57 time=47.7 ms
[2024-11-04T12:24:35.335759-0700] 46 bytes from 54.176.53.206: icmp_seq=4 ttl=57 time=47.6 ms
[2024-11-04T12:24:35.540560-0700] 46 bytes from 54.176.53.206: icmp_seq=5 ttl=57 time=51.2 ms
[2024-11-04T12:24:35.746179-0700] 46 bytes from 54.176.53.206: icmp_seq=6 ttl=57 time=56.0 ms
[2024-11-04T12:24:35.939064-0700] 46 bytes from 54.176.53.206: icmp_seq=7 ttl=57 time=49.4 ms
[2024-11-04T12:24:36.137898-0700] 46 bytes from 54.176.53.206: icmp_seq=8 ttl=57 time=47.1 ms
[2024-11-04T12:24:36.339075-0700] 46 bytes from 54.176.53.206: icmp_seq=9 ttl=57 time=46.4 ms
[2024-11-04T12:24:36.547173-0700] 46 bytes from 54.176.53.206: icmp_seq=10 ttl=57 time=52.2 ms
[2024-11-04T12:24:36.750624-0700] 46 bytes from 54.176.53.206: icmp_seq=11 ttl=57 time=52.8 ms
[2024-11-04T12:24:36.948506-0700] 46 bytes from 54.176.53.206: icmp_seq=12 ttl=57 time=48.1 ms
[2024-11-04T12:24:37.154260-0700] 46 bytes from 54.176.53.206: icmp_seq=13 ttl=57 time=52.7 ms
[2024-11-04T12:24:37.352596-0700] 46 bytes from 54.176.53.206: icmp_seq=14 ttl=57 time=50.1 ms
[2024-11-04T12:24:37.551907-0700] 46 bytes from 54.176.53.206: icmp_seq=15 ttl=57 time=48.8 ms
[2024-11-04T12:24:37.751425-0700] 46 bytes from 54.176.53.206: icmp_seq=16 ttl=57 time=47.8 ms
[2024-11-04T12:24:37.964815-0700] 46 bytes from 54.176.53.206: icmp_seq=17 ttl=57 time=60.1 ms
[2024-11-04T12:24:38.161295-0700] 46 bytes from 54.176.53.206: icmp_seq=18 ttl=57 time=55.1 ms
