Start time: 1730836837631
[2024-11-05T14:00:38.648332-0600] nuttcp-t: v8.1.4: socket
[2024-11-05T14:00:38.649066-0600] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.197.223.49
[2024-11-05T14:00:38.649145-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-05T14:00:38.649208-0600] nuttcp-t: connect to 54.197.223.49 with mss=1448, RTT=47.946 ms af=inet
[2024-11-05T14:00:38.649262-0600] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-05T14:00:38.649315-0600] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-05T14:00:38.649452-0600] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-05T14:00:38.649508-0600] nuttcp-r: v8.1.4: socket
[2024-11-05T14:00:38.649565-0600] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-05T14:00:38.649623-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-05T14:00:38.649684-0600] nuttcp-r: accept from 98.97.11.139 with af=inet
[2024-11-05T14:00:38.649747-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-05T14:00:38.649802-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-05T14:00:38.649860-0600]     1.1250 MB /   0.50 sec =   18.8732 Mbps     6 retrans    159 KB-cwnd
[2024-11-05T14:00:39.146690-0600]     1.3750 MB /   0.50 sec =   23.0678 Mbps     1 retrans    135 KB-cwnd
[2024-11-05T14:00:39.839919-0600]     1.0000 MB /   0.50 sec =   16.7780 Mbps     3 retrans     91 KB-cwnd
[2024-11-05T14:00:40.296470-0600]     0.6875 MB /   0.50 sec =   11.5343 Mbps     1 retrans     76 KB-cwnd
[2024-11-05T14:00:40.808367-0600]     0.6875 MB /   0.50 sec =   11.5343 Mbps     0 retrans     80 KB-cwnd
[2024-11-05T14:00:41.378971-0600]     0.6250 MB /   0.50 sec =   10.4859 Mbps     1 retrans     67 KB-cwnd
[2024-11-05T14:00:42.020641-0600]     0.5625 MB /   0.50 sec =    9.4371 Mbps     0 retrans     72 KB-cwnd
[2024-11-05T14:00:42.021166-0600]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans     72 KB-cwnd
[2024-11-05T14:00:43.017693-0600]     0.5625 MB /   0.50 sec =    9.4372 Mbps     1 retrans     70 KB-cwnd
[2024-11-05T14:00:43.018173-0600]     0.5625 MB /   0.50 sec =    9.4320 Mbps     0 retrans     70 KB-cwnd
[2024-11-05T14:00:43.672975-0600]     0.5000 MB /   0.50 sec =    8.3934 Mbps     1 retrans     57 KB-cwnd
[2024-11-05T14:00:44.560087-0600]     0.4375 MB /   0.50 sec =    7.3399 Mbps     3 retrans     42 KB-cwnd
[2024-11-05T14:00:44.560450-0600]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     42 KB-cwnd
[2024-11-05T14:00:45.592914-0600]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     49 KB-cwnd
[2024-11-05T14:00:45.593514-0600]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     49 KB-cwnd
[2024-11-05T14:00:46.789684-0600]     0.2500 MB /   0.50 sec =    4.1943 Mbps     9 retrans     46 KB-cwnd
[2024-11-05T14:00:46.790133-0600]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans     46 KB-cwnd
[2024-11-05T14:00:47.904103-0600]     0.3125 MB /   0.50 sec =    5.2423 Mbps     4 retrans     33 KB-cwnd
[2024-11-05T14:00:47.904549-0600]     0.2500 MB /   0.50 sec =    4.1946 Mbps     0 retrans     33 KB-cwnd
[2024-11-05T14:00:48.917588-0600]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     42 KB-cwnd
