Start time: 1730912425137
[2024-11-06T11:00:26.071440-0600] nuttcp-r: v8.1.4: socket
[2024-11-06T11:00:26.072455-0600] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-06T11:00:26.072579-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-06T11:00:26.072680-0600] nuttcp-r: connect to 54.197.223.49 with RTT=55.535 ms af=inet
[2024-11-06T11:00:26.072771-0600] nuttcp-r: send window size = 1048576, receive window size = 1048576
[2024-11-06T11:00:26.072856-0600] nuttcp-r: available send window = 786432, available receive window = 786432
[2024-11-06T11:00:26.072942-0600]     1.3125 MB /   0.50 sec =   22.0166 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:26.571355-0600]     5.8125 MB /   0.50 sec =   97.5197 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:27.073215-0600]     4.8125 MB /   0.50 sec =   80.5308 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:27.571905-0600]     8.5000 MB /   0.50 sec =  142.9804 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:28.071298-0600]     6.3125 MB /   0.50 sec =  105.9074 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:28.571280-0600]     8.0625 MB /   0.50 sec =  135.2693 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:29.071648-0600]    11.5000 MB /   0.50 sec =  192.8092 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:29.571663-0600]     4.8750 MB /   0.50 sec =   81.8421 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:30.071920-0600]     5.1250 MB /   0.50 sec =   85.8942 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:30.572485-0600]     7.1250 MB /   0.50 sec =  119.5401 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:31.072070-0600]     6.0625 MB /   0.50 sec =  101.6570 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:31.571376-0600]     6.4375 MB /   0.50 sec =  108.1623 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:32.072567-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:32.571343-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:33.072734-0600]     0.4375 MB /   0.50 sec =    7.3211 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:33.572786-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:34.072846-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:34.571371-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:35.071319-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:35.571909-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:36.071402-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:36.571420-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:37.074701-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:37.571343-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:38.071400-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:38.571465-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:39.072391-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:39.571447-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:40.072738-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:40.571319-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:41.071368-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:41.571499-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:42.073150-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:42.571360-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:43.071341-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:43.571367-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:44.071182-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-06T11:00:44.571389-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
