Start time: 1730993947038
[2024-11-07T10:39:08.840852-0500] nuttcp-r: v8.1.4: socket
[2024-11-07T10:39:08.841678-0500] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-07T10:39:08.841741-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-07T10:39:08.841781-0500] nuttcp-r: connect to 54.197.223.49 with RTT=46.957 ms af=inet
[2024-11-07T10:39:08.841820-0500] nuttcp-r: send window size = 1048576, receive window size = 1048576
[2024-11-07T10:39:08.841855-0500] nuttcp-r: available send window = 786432, available receive window = 786432
[2024-11-07T10:39:08.841891-0500]     0.4375 MB /   0.50 sec =    7.3103 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:09.340966-0500]     1.0625 MB /   0.50 sec =   17.8425 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:09.838618-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:10.338863-0500]     0.5625 MB /   0.50 sec =    9.4356 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:10.840461-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:11.339967-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:11.839454-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:12.339456-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:12.839440-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:13.339511-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:13.839460-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:14.339542-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:14.839417-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:15.338464-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:15.838408-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:16.338449-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:16.838377-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:17.339646-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
[2024-11-07T10:39:17.839472-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     14 KB-cwnd
