Start time: 1730994251310
[2024-11-07T10:44:11.525] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-07T10:44:11.525] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-07T10:44:11.581] - client - INFO - 46 bytes from 54.197.223.49: time=55.21 ms
[2024-11-07T10:44:11.835] - client - INFO - 46 bytes from 54.197.223.49: time=52.75 ms
[2024-11-07T10:44:12.119] - client - INFO - 46 bytes from 54.197.223.49: time=81.01 ms
[2024-11-07T10:44:12.364] - client - INFO - 46 bytes from 54.197.223.49: time=42.58 ms
[2024-11-07T10:44:12.610] - client - INFO - 46 bytes from 54.197.223.49: time=44.82 ms
[2024-11-07T10:44:12.866] - client - INFO - 46 bytes from 54.197.223.49: time=54.16 ms
[2024-11-07T10:44:13.111] - client - INFO - 46 bytes from 54.197.223.49: time=43.04 ms
[2024-11-07T10:44:13.365] - client - INFO - 46 bytes from 54.197.223.49: time=51.65 ms
[2024-11-07T10:44:13.627] - client - INFO - 46 bytes from 54.197.223.49: time=59.37 ms
[2024-11-07T10:44:13.866] - client - INFO - 46 bytes from 54.197.223.49: time=38.38 ms
[2024-11-07T10:44:14.163] - client - INFO - 46 bytes from 54.197.223.49: time=95.01 ms
[2024-11-07T10:44:14.416] - client - INFO - 46 bytes from 54.197.223.49: time=51.49 ms
[2024-11-07T10:44:14.667] - client - INFO - 46 bytes from 54.197.223.49: time=49.89 ms
[2024-11-07T10:44:14.919] - client - INFO - 46 bytes from 54.197.223.49: time=50.45 ms
[2024-11-07T10:44:15.172] - client - INFO - 46 bytes from 54.197.223.49: time=51.19 ms
[2024-11-07T10:44:15.420] - client - INFO - 46 bytes from 54.197.223.49: time=46.38 ms
[2024-11-07T10:44:15.671] - client - INFO - 46 bytes from 54.197.223.49: time=49.42 ms
[2024-11-07T10:44:15.932] - client - INFO - 46 bytes from 54.197.223.49: time=58.80 ms
[2024-11-07T10:44:16.213] - client - INFO - 46 bytes from 54.197.223.49: time=79.32 ms
[2024-11-07T10:44:16.472] - client - INFO - 46 bytes from 54.197.223.49: time=58.06 ms
[2024-11-07T10:44:16.721] - client - INFO - 46 bytes from 54.197.223.49: time=48.70 ms
[2024-11-07T10:44:16.999] - client - INFO - 46 bytes from 54.197.223.49: time=76.05 ms
[2024-11-07T10:44:17.260] - client - INFO - 46 bytes from 54.197.223.49: time=60.10 ms
[2024-11-07T10:44:17.513] - client - INFO - 46 bytes from 54.197.223.49: time=51.11 ms
[2024-11-07T10:44:17.784] - client - INFO - 46 bytes from 54.197.223.49: time=70.39 ms
[2024-11-07T10:44:18.041] - client - INFO - 46 bytes from 54.197.223.49: time=54.30 ms
[2024-11-07T10:44:18.289] - client - INFO - 46 bytes from 54.197.223.49: time=45.94 ms
[2024-11-07T10:44:18.590] - client - INFO - 46 bytes from 54.197.223.49: time=98.95 ms
[2024-11-07T10:44:18.900] - client - INFO - 46 bytes from 54.197.223.49: time=107.79 ms
[2024-11-07T10:44:19.170] - client - INFO - 46 bytes from 54.197.223.49: time=68.21 ms
[2024-11-07T10:44:19.479] - client - INFO - 46 bytes from 54.197.223.49: time=107.83 ms
[2024-11-07T10:44:19.768] - client - INFO - 46 bytes from 54.197.223.49: time=87.92 ms
[2024-11-07T10:44:20.039] - client - INFO - 46 bytes from 54.197.223.49: time=70.95 ms
[2024-11-07T10:44:20.301] - client - INFO - 46 bytes from 54.197.223.49: time=59.45 ms
[2024-11-07T10:44:20.587] - client - INFO - 46 bytes from 54.197.223.49: time=84.55 ms
