Start time: 1731080846415
[2024-11-08T10:47:27.683098-0500] nuttcp-t: v8.1.4: socket
[2024-11-08T10:47:27.683561-0500] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.197.223.49
[2024-11-08T10:47:27.683611-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-08T10:47:27.683646-0500] nuttcp-t: connect to 54.197.223.49 with mss=1448, RTT=34.323 ms af=inet
[2024-11-08T10:47:27.683678-0500] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-08T10:47:27.683711-0500] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-08T10:47:27.683740-0500] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-08T10:47:27.683769-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T10:47:27.683796-0500] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-08T10:47:27.683822-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T10:47:27.683849-0500] nuttcp-r: accept from 98.97.21.159 with af=inet
[2024-11-08T10:47:27.683878-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-08T10:47:27.683904-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-08T10:47:27.683936-0500]     0.3125 MB /   0.50 sec =    5.2424 Mbps    69 retrans    217 KB-cwnd
[2024-11-08T10:47:27.859398-0500]     1.0000 MB /   0.50 sec =   16.7784 Mbps    12 retrans    172 KB-cwnd
[2024-11-08T10:47:28.483562-0500]     1.2500 MB /   0.50 sec =   20.9715 Mbps    13 retrans     72 KB-cwnd
[2024-11-08T10:47:28.908847-0500]     0.8750 MB /   0.50 sec =   14.6798 Mbps     2 retrans     60 KB-cwnd
[2024-11-08T10:47:29.462623-0500]     0.6875 MB /   0.50 sec =   11.5344 Mbps     1 retrans     52 KB-cwnd
[2024-11-08T10:47:30.017029-0500]     0.5625 MB /   0.50 sec =    9.4367 Mbps     0 retrans     59 KB-cwnd
[2024-11-08T10:47:30.727214-0500]     0.5625 MB /   0.50 sec =    9.4371 Mbps     4 retrans     43 KB-cwnd
[2024-11-08T10:47:31.339135-0500]     0.4375 MB /   0.50 sec =    7.3403 Mbps     1 retrans     59 KB-cwnd
[2024-11-08T10:47:31.339646-0500]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans     59 KB-cwnd
[2024-11-08T10:47:31.874882-0500]     0.6875 MB /   0.50 sec =   11.5340 Mbps     1 retrans     50 KB-cwnd
[2024-11-08T10:47:32.541513-0500]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans     57 KB-cwnd
[2024-11-08T10:47:33.160705-0500]     0.5000 MB /   0.50 sec =    8.3888 Mbps     1 retrans     60 KB-cwnd
[2024-11-08T10:47:33.924977-0500]     0.5000 MB /   0.50 sec =    8.3888 Mbps     1 retrans     53 KB-cwnd
[2024-11-08T10:47:33.925707-0500]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans     53 KB-cwnd
[2024-11-08T10:47:34.651472-0500]     0.5625 MB /   0.50 sec =    9.4370 Mbps     1 retrans     49 KB-cwnd
[2024-11-08T10:47:35.498697-0500]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans     57 KB-cwnd
[2024-11-08T10:47:35.498858-0500]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans     57 KB-cwnd
[2024-11-08T10:47:36.231035-0500]     0.4375 MB /   0.50 sec =    7.3401 Mbps     1 retrans     60 KB-cwnd
[2024-11-08T10:47:37.119393-0500]     0.5000 MB /   0.50 sec =    8.3885 Mbps     1 retrans     52 KB-cwnd
[2024-11-08T10:47:37.119830-0500]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     52 KB-cwnd
[2024-11-08T10:47:37.884606-0500]     0.3125 MB /   0.50 sec =    5.2427 Mbps     3 retrans     38 KB-cwnd
[2024-11-08T10:47:37.885137-0500]     0.5000 MB /   0.50 sec =    8.3889 Mbps     0 retrans     38 KB-cwnd
[2024-11-08T10:47:38.643594-0500]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     46 KB-cwnd
[2024-11-08T10:47:39.478279-0500]     0.4375 MB /   0.50 sec =    7.3391 Mbps     3 retrans     35 KB-cwnd
[2024-11-08T10:47:39.478539-0500]     0.4375 MB /   0.50 sec =    7.3326 Mbps     0 retrans     35 KB-cwnd
[2024-11-08T10:47:40.445612-0500]     0.3125 MB /   0.50 sec =    5.2487 Mbps     4 retrans     80 KB-cwnd
[2024-11-08T10:47:40.446107-0500]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     80 KB-cwnd
[2024-11-08T10:47:41.480531-0500]     0.5625 MB /   0.50 sec =    9.4372 Mbps    26 retrans     43 KB-cwnd
[2024-11-08T10:47:41.481076-0500]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     43 KB-cwnd
[2024-11-08T10:47:43.644179-0500]     0.3750 MB /   0.50 sec =    6.2915 Mbps    26 retrans    114 KB-cwnd
[2024-11-08T10:47:43.644542-0500]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans    114 KB-cwnd
[2024-11-08T10:47:43.644649-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans    114 KB-cwnd
[2024-11-08T10:47:43.644736-0500]     0.1250 MB /   0.50 sec =    2.0971 Mbps     0 retrans    114 KB-cwnd
[2024-11-08T10:47:44.242432-0500]     0.3750 MB /   0.50 sec =    6.2915 Mbps    34 retrans     35 KB-cwnd
[2024-11-08T10:47:45.096987-0500]     0.5625 MB /   0.50 sec =    9.4370 Mbps     0 retrans     41 KB-cwnd
[2024-11-08T10:47:45.097431-0500]     0.3125 MB /   0.50 sec =    5.2423 Mbps     0 retrans     41 KB-cwnd
[2024-11-08T10:47:46.093155-0500]     0.4375 MB /   0.50 sec =    7.3407 Mbps     7 retrans     29 KB-cwnd
[2024-11-08T10:47:46.093419-0500]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     29 KB-cwnd
[2024-11-08T10:47:47.049455-0500]     0.3125 MB /   0.50 sec =    5.2395 Mbps     4 retrans     31 KB-cwnd
[2024-11-08T10:47:47.050140-0500]     0.3750 MB /   0.50 sec =    6.2953 Mbps     0 retrans     31 KB-cwnd
[2024-11-08T10:47:48.255970-0500]     0.3750 MB /   0.50 sec =    6.2916 Mbps    11 retrans     38 KB-cwnd
[2024-11-08T10:47:48.256400-0500]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     38 KB-cwnd
[2024-11-08T10:47:48.256509-0500]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     38 KB-cwnd
[2024-11-08T10:47:49.127847-0500]     0.3750 MB /   0.50 sec =    6.2914 Mbps     2 retrans     39 KB-cwnd
