Start time: 1731088173317
[2024-11-08T12:49:34.213528-0500] nuttcp-t: v8.1.4: socket
[2024-11-08T12:49:34.214318-0500] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.197.223.49
[2024-11-08T12:49:34.214374-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-08T12:49:34.214411-0500] nuttcp-t: connect to 54.197.223.49 with mss=1448, RTT=41.505 ms af=inet
[2024-11-08T12:49:34.214446-0500] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-08T12:49:34.214483-0500] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-08T12:49:34.214515-0500] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-08T12:49:34.214547-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T12:49:34.214582-0500] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-08T12:49:34.214614-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T12:49:34.214646-0500] nuttcp-r: accept from 98.97.21.159 with af=inet
[2024-11-08T12:49:34.214679-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-08T12:49:34.214708-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-08T12:49:34.214753-0500]     1.5000 MB /   0.50 sec =   25.1645 Mbps    15 retrans    253 KB-cwnd
[2024-11-08T12:49:34.670466-0500]     2.5000 MB /   0.50 sec =   41.9436 Mbps     6 retrans    125 KB-cwnd
[2024-11-08T12:49:35.124741-0500]     1.2500 MB /   0.50 sec =   20.9719 Mbps     1 retrans    107 KB-cwnd
[2024-11-08T12:49:36.030057-0500]     1.0625 MB /   0.50 sec =   17.8139 Mbps     0 retrans    121 KB-cwnd
[2024-11-08T12:49:36.466828-0500]     1.1875 MB /   0.50 sec =   19.9363 Mbps     2 retrans    106 KB-cwnd
[2024-11-08T12:49:36.914554-0500]     1.1875 MB /   0.50 sec =   19.9227 Mbps     0 retrans    111 KB-cwnd
[2024-11-08T12:49:37.309766-0500]     1.1250 MB /   0.50 sec =   18.8743 Mbps     0 retrans    117 KB-cwnd
[2024-11-08T12:49:37.795477-0500]     1.1250 MB /   0.50 sec =   18.8743 Mbps     3 retrans     87 KB-cwnd
[2024-11-08T12:49:38.383147-0500]     1.0000 MB /   0.50 sec =   16.7772 Mbps     2 retrans     74 KB-cwnd
[2024-11-08T12:49:39.104115-0500]     0.8125 MB /   0.50 sec =   13.6314 Mbps     0 retrans     82 KB-cwnd
[2024-11-08T12:49:39.104611-0500]     0.7500 MB /   0.50 sec =   12.5830 Mbps     0 retrans     82 KB-cwnd
[2024-11-08T12:49:39.894403-0500]     0.6875 MB /   0.50 sec =   11.5345 Mbps     4 retrans     56 KB-cwnd
[2024-11-08T12:49:40.914699-0500]     0.5625 MB /   0.50 sec =    9.4371 Mbps     2 retrans     53 KB-cwnd
[2024-11-08T12:49:40.915006-0500]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans     53 KB-cwnd
[2024-11-08T12:49:41.385226-0500]     0.5625 MB /   0.50 sec =    9.4373 Mbps     3 retrans     90 KB-cwnd
[2024-11-08T12:49:41.958595-0500]     1.1250 MB /   0.50 sec =   18.8741 Mbps     0 retrans     96 KB-cwnd
[2024-11-08T12:49:42.406315-0500]     0.8125 MB /   0.50 sec =   13.6300 Mbps     0 retrans    103 KB-cwnd
[2024-11-08T12:49:42.849641-0500]     1.1875 MB /   0.50 sec =   19.9247 Mbps     1 retrans     97 KB-cwnd
