Start time: 1730570452581
[2024-11-02T11:00:52.736731-0700] PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
[2024-11-02T11:00:52.737233-0700] 46 bytes from 54.176.53.206: icmp_seq=1 ttl=50 time=57.1 ms
[2024-11-02T11:00:52.935050-0700] 46 bytes from 54.176.53.206: icmp_seq=2 ttl=50 time=53.4 ms
[2024-11-02T11:00:53.134028-0700] 46 bytes from 54.176.53.206: icmp_seq=3 ttl=50 time=52.0 ms
[2024-11-02T11:00:53.345039-0700] 46 bytes from 54.176.53.206: icmp_seq=4 ttl=50 time=59.6 ms
[2024-11-02T11:00:53.534830-0700] 46 bytes from 54.176.53.206: icmp_seq=5 ttl=50 time=47.8 ms
[2024-11-02T11:00:53.744757-0700] 46 bytes from 54.176.53.206: icmp_seq=6 ttl=50 time=57.5 ms
[2024-11-02T11:00:53.953679-0700] 46 bytes from 54.176.53.206: icmp_seq=7 ttl=50 time=63.8 ms
[2024-11-02T11:00:54.152986-0700] 46 bytes from 54.176.53.206: icmp_seq=8 ttl=50 time=62.8 ms
[2024-11-02T11:00:54.353997-0700] 46 bytes from 54.176.53.206: icmp_seq=9 ttl=50 time=63.4 ms
[2024-11-02T11:00:54.556501-0700] 46 bytes from 54.176.53.206: icmp_seq=10 ttl=50 time=62.4 ms
[2024-11-02T11:00:54.757691-0700] 46 bytes from 54.176.53.206: icmp_seq=11 ttl=50 time=63.4 ms
[2024-11-02T11:00:54.959074-0700] 46 bytes from 54.176.53.206: icmp_seq=12 ttl=50 time=62.8 ms
[2024-11-02T11:00:55.154341-0700] 46 bytes from 54.176.53.206: icmp_seq=13 ttl=50 time=58.7 ms
[2024-11-02T11:00:55.354686-0700] 46 bytes from 54.176.53.206: icmp_seq=14 ttl=50 time=58.5 ms
[2024-11-02T11:00:55.554342-0700] 46 bytes from 54.176.53.206: icmp_seq=15 ttl=50 time=54.7 ms
