Start time: 1730579884701
[2024-11-02T13:38:04.960] - client - INFO - Connected to 54.176.53.206:65432
[2024-11-02T13:38:04.961] - client - INFO - PING 54.176.53.206 26(66) bytes of data.
[2024-11-02T13:38:05.009] - client - INFO - 46 bytes from 54.176.53.206: time=47.98 ms
[2024-11-02T13:38:05.283] - client - INFO - 46 bytes from 54.176.53.206: time=71.89 ms
[2024-11-02T13:38:05.546] - client - INFO - 46 bytes from 54.176.53.206: time=61.05 ms
[2024-11-02T13:38:05.801] - client - INFO - 46 bytes from 54.176.53.206: time=53.73 ms
[2024-11-02T13:38:06.066] - client - INFO - 46 bytes from 54.176.53.206: time=63.05 ms
[2024-11-02T13:38:06.329] - client - INFO - 46 bytes from 54.176.53.206: time=63.10 ms
[2024-11-02T13:38:06.584] - client - INFO - 46 bytes from 54.176.53.206: time=53.07 ms
[2024-11-02T13:38:06.844] - client - INFO - 46 bytes from 54.176.53.206: time=57.98 ms
[2024-11-02T13:38:07.101] - client - INFO - 46 bytes from 54.176.53.206: time=56.06 ms
[2024-11-02T13:38:07.360] - client - INFO - 46 bytes from 54.176.53.206: time=58.65 ms
[2024-11-02T13:38:07.624] - client - INFO - 46 bytes from 54.176.53.206: time=63.12 ms
[2024-11-02T13:38:07.884] - client - INFO - 46 bytes from 54.176.53.206: time=59.33 ms
[2024-11-02T13:38:08.147] - client - INFO - 46 bytes from 54.176.53.206: time=62.02 ms
[2024-11-02T13:38:08.404] - client - INFO - 46 bytes from 54.176.53.206: time=55.69 ms
[2024-11-02T13:38:08.664] - client - INFO - 46 bytes from 54.176.53.206: time=57.94 ms
[2024-11-02T13:38:08.926] - client - INFO - 46 bytes from 54.176.53.206: time=60.76 ms
[2024-11-02T13:38:09.184] - client - INFO - 46 bytes from 54.176.53.206: time=56.51 ms
[2024-11-02T13:38:09.448] - client - INFO - 46 bytes from 54.176.53.206: time=61.97 ms
[2024-11-02T13:38:09.704] - client - INFO - 46 bytes from 54.176.53.206: time=54.64 ms
[2024-11-02T13:38:09.965] - client - INFO - 46 bytes from 54.176.53.206: time=58.98 ms
[2024-11-02T13:38:10.225] - client - INFO - 46 bytes from 54.176.53.206: time=58.26 ms
[2024-11-02T13:38:10.486] - client - INFO - 46 bytes from 54.176.53.206: time=60.86 ms
[2024-11-02T13:38:10.743] - client - INFO - 46 bytes from 54.176.53.206: time=56.23 ms
[2024-11-02T13:38:11.004] - client - INFO - 46 bytes from 54.176.53.206: time=59.40 ms
[2024-11-02T13:38:11.265] - client - INFO - 46 bytes from 54.176.53.206: time=58.96 ms
[2024-11-02T13:38:11.525] - client - INFO - 46 bytes from 54.176.53.206: time=57.31 ms
[2024-11-02T13:38:11.782] - client - INFO - 46 bytes from 54.176.53.206: time=56.93 ms
[2024-11-02T13:38:12.045] - client - INFO - 46 bytes from 54.176.53.206: time=60.53 ms
[2024-11-02T13:38:12.304] - client - INFO - 46 bytes from 54.176.53.206: time=57.17 ms
[2024-11-02T13:38:12.564] - client - INFO - 46 bytes from 54.176.53.206: time=58.70 ms
[2024-11-02T13:38:12.823] - client - INFO - 46 bytes from 54.176.53.206: time=56.47 ms
[2024-11-02T13:38:13.085] - client - INFO - 46 bytes from 54.176.53.206: time=61.81 ms
[2024-11-02T13:38:13.344] - client - INFO - 46 bytes from 54.176.53.206: time=58.32 ms
[2024-11-02T13:38:13.605] - client - INFO - 46 bytes from 54.176.53.206: time=59.05 ms
