Start time: 1730598202149
[2024-11-02T19:43:23.101526-0600] nuttcp-t: v8.1.4: socket
[2024-11-02T19:43:23.101900-0600] nuttcp-t: buflen=65536, nstream=1, port=5379 tcp -> 54.176.53.206
[2024-11-02T19:43:23.101934-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-02T19:43:23.101959-0600] nuttcp-t: connect to 54.176.53.206 with mss=1384, RTT=59.535 ms af=inet
[2024-11-02T19:43:23.101982-0600] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-02T19:43:23.102005-0600] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-02T19:43:23.102027-0600] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-02T19:43:23.102049-0600] nuttcp-r: v6.1.2: socket
[2024-11-02T19:43:23.102070-0600] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-02T19:43:23.102092-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T19:43:23.102115-0600] nuttcp-r: accept from 172.59.153.24
[2024-11-02T19:43:23.102136-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-02T19:43:23.102157-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-02T19:43:23.102180-0600]     0.9375 MB /   0.50 sec =   15.7279 Mbps     0 retrans   1144 KB-cwnd
[2024-11-02T19:43:23.705540-0600]     1.5000 MB /   0.50 sec =   25.1646 Mbps     0 retrans   1609 KB-cwnd
[2024-11-02T19:43:24.396959-0600]     1.6875 MB /   0.50 sec =   28.3126 Mbps     0 retrans   1616 KB-cwnd
[2024-11-02T19:43:26.286319-0600]     1.6875 MB /   0.50 sec =   28.3123 Mbps     1 retrans   2128 KB-cwnd
[2024-11-02T19:43:26.286733-0600]     1.2500 MB /   0.50 sec =   20.9709 Mbps     0 retrans   2128 KB-cwnd
[2024-11-02T19:43:26.286868-0600]     0.6250 MB /   0.50 sec =   10.4859 Mbps     0 retrans   2128 KB-cwnd
[2024-11-02T19:43:27.001250-0600]     0.2500 MB /   0.50 sec =    4.1941 Mbps     2 retrans   1752 KB-cwnd
[2024-11-02T19:43:27.001749-0600]     1.0000 MB /   0.50 sec =   16.7782 Mbps     0 retrans   1752 KB-cwnd
[2024-11-02T19:43:27.753503-0600]     2.0625 MB /   0.50 sec =   34.6027 Mbps     0 retrans   1752 KB-cwnd
[2024-11-02T19:43:27.753913-0600]     1.7500 MB /   0.50 sec =   29.3602 Mbps     0 retrans   1752 KB-cwnd
[2024-11-02T19:43:28.305800-0600]     2.1875 MB /   0.50 sec =   36.6981 Mbps     0 retrans   1752 KB-cwnd
