Start time: 1730917795740
[2024-11-06T13:29:56.697549-0500] nuttcp-t: v8.1.4: socket
[2024-11-06T13:29:56.698125-0500] nuttcp-t: buflen=65536, nstream=1, port=5379 tcp -> 54.197.223.49
[2024-11-06T13:29:56.698175-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-06T13:29:56.698215-0500] nuttcp-t: connect to 54.197.223.49 with mss=1384, RTT=54.782 ms af=inet
[2024-11-06T13:29:56.698252-0500] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-06T13:29:56.698289-0500] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-06T13:29:56.698324-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-06T13:29:56.698358-0500] nuttcp-r: v8.1.4: socket
[2024-11-06T13:29:56.698434-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-06T13:29:56.698471-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-06T13:29:56.698507-0500] nuttcp-r: accept from 172.59.187.154 with af=inet
[2024-11-06T13:29:56.698541-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-06T13:29:56.698575-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-06T13:29:56.698618-0500]     0.8125 MB /   0.50 sec =   13.6308 Mbps     0 retrans    916 KB-cwnd
[2024-11-06T13:29:57.423096-0500]     1.8750 MB /   0.50 sec =   31.4512 Mbps     0 retrans   2035 KB-cwnd
[2024-11-06T13:29:57.930799-0500]     2.3125 MB /   0.50 sec =   38.8052 Mbps     0 retrans   2234 KB-cwnd
[2024-11-06T13:29:58.468421-0500]     2.6250 MB /   0.50 sec =   44.0398 Mbps     0 retrans   2234 KB-cwnd
[2024-11-06T13:29:59.128610-0500]     2.3125 MB /   0.50 sec =   38.7975 Mbps     0 retrans   2234 KB-cwnd
[2024-11-06T13:29:59.633012-0500]     2.1875 MB /   0.50 sec =   36.6985 Mbps     0 retrans   2234 KB-cwnd
[2024-11-06T13:30:00.162353-0500]     2.5000 MB /   0.50 sec =   41.9453 Mbps     0 retrans   2326 KB-cwnd
[2024-11-06T13:30:00.567260-0500]     2.6250 MB /   0.50 sec =   44.0394 Mbps     0 retrans   2522 KB-cwnd
[2024-11-06T13:30:00.954190-0500]     3.3125 MB /   0.50 sec =   55.5741 Mbps     0 retrans   2522 KB-cwnd
[2024-11-06T13:30:01.388204-0500]     3.3750 MB /   0.50 sec =   56.6250 Mbps     0 retrans   2522 KB-cwnd
[2024-11-06T13:30:01.743726-0500]     3.5000 MB /   0.50 sec =   58.7196 Mbps     0 retrans   2524 KB-cwnd
[2024-11-06T13:30:02.412732-0500]     4.0625 MB /   0.50 sec =   68.1543 Mbps     0 retrans   2540 KB-cwnd
[2024-11-06T13:30:02.740412-0500]     3.9375 MB /   0.50 sec =   66.0624 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:04.068649-0500]     3.3750 MB /   0.50 sec =   56.6233 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:04.069089-0500]     1.5625 MB /   0.50 sec =   26.2131 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:04.697719-0500]     1.1250 MB /   0.50 sec =   18.8755 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:04.698310-0500]     2.3750 MB /   0.50 sec =   39.8463 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:05.749837-0500]     2.9375 MB /   0.50 sec =   49.2832 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:05.750437-0500]     2.1875 MB /   0.50 sec =   36.6995 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:06.404842-0500]     2.0625 MB /   0.50 sec =   34.6020 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:07.098753-0500]     1.8750 MB /   0.50 sec =   31.4580 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:07.736451-0500]     2.0000 MB /   0.50 sec =   33.5546 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:07.736957-0500]     2.0625 MB /   0.50 sec =   34.6029 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:08.490751-0500]     2.1875 MB /   0.50 sec =   36.7006 Mbps     0 retrans   3027 KB-cwnd
[2024-11-06T13:30:09.545294-0500]     1.0625 MB /   0.50 sec =   17.8255 Mbps    11 retrans   2443 KB-cwnd
[2024-11-06T13:30:09.545825-0500]     1.0625 MB /   0.50 sec =   17.8261 Mbps     0 retrans   2443 KB-cwnd
[2024-11-06T13:30:10.546292-0500]     2.0000 MB /   0.50 sec =   33.5539 Mbps     9 retrans   1954 KB-cwnd
[2024-11-06T13:30:10.546806-0500]     0.7500 MB /   0.50 sec =   12.5827 Mbps     0 retrans   1954 KB-cwnd
[2024-11-06T13:30:11.117336-0500]     2.5625 MB /   0.50 sec =   42.9925 Mbps     0 retrans   1957 KB-cwnd
[2024-11-06T13:30:11.474340-0500]     3.0625 MB /   0.50 sec =   51.3782 Mbps     0 retrans   1957 KB-cwnd
[2024-11-06T13:30:11.976814-0500]     3.0625 MB /   0.50 sec =   51.3816 Mbps     0 retrans   1957 KB-cwnd
[2024-11-06T13:30:12.383061-0500]     3.0000 MB /   0.50 sec =   50.3323 Mbps     0 retrans   1957 KB-cwnd
[2024-11-06T13:30:12.798897-0500]     3.1250 MB /   0.50 sec =   52.4280 Mbps     0 retrans   1957 KB-cwnd
[2024-11-06T13:30:13.251265-0500]     3.3750 MB /   0.50 sec =   56.6234 Mbps     0 retrans   1957 KB-cwnd
[2024-11-06T13:30:13.750990-0500]     2.4375 MB /   0.50 sec =   40.8949 Mbps     0 retrans   1957 KB-cwnd
