Start time: 1730993623546
[2024-11-07T10:33:44.525524-0500] nuttcp-t: v8.1.4: socket
[2024-11-07T10:33:44.526659-0500] nuttcp-t: buflen=65536, nstream=1, port=5379 tcp -> 54.197.223.49
[2024-11-07T10:33:44.526781-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-07T10:33:44.527013-0500] nuttcp-t: connect to 54.197.223.49 with mss=1384, RTT=55.629 ms af=inet
[2024-11-07T10:33:44.527109-0500] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-07T10:33:44.527322-0500] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-07T10:33:44.527477-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-07T10:33:44.527562-0500] nuttcp-r: v8.1.4: socket
[2024-11-07T10:33:44.527644-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-07T10:33:44.527949-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-07T10:33:44.528048-0500] nuttcp-r: accept from 172.58.120.236 with af=inet
[2024-11-07T10:33:44.528131-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-07T10:33:44.528214-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-07T10:33:44.528308-0500]     2.2500 MB /   0.50 sec =   37.7426 Mbps     1 retrans   2743 KB-cwnd
[2024-11-07T10:33:45.062123-0500]     5.0000 MB /   0.50 sec =   83.8847 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:45.485450-0500]     3.5000 MB /   0.50 sec =   58.7255 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:46.049333-0500]     4.6250 MB /   0.50 sec =   77.5943 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:46.600392-0500]     5.0000 MB /   0.50 sec =   83.8918 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:47.170899-0500]     4.7500 MB /   0.50 sec =   79.6910 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:47.725970-0500]     5.1250 MB /   0.50 sec =   85.9834 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:48.015150-0500]     4.6250 MB /   0.50 sec =   77.5942 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:48.625235-0500]     4.3125 MB /   0.50 sec =   72.3533 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:49.217790-0500]     4.5000 MB /   0.50 sec =   75.4960 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:49.550872-0500]     4.2500 MB /   0.50 sec =   71.3033 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:50.270801-0500]     3.8750 MB /   0.50 sec =   65.0108 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:50.593575-0500]     3.8750 MB /   0.50 sec =   65.0135 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:51.215419-0500]     4.1250 MB /   0.50 sec =   69.2050 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:51.555116-0500]     4.2500 MB /   0.50 sec =   71.3025 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:52.270290-0500]     3.8125 MB /   0.50 sec =   63.9645 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:52.604735-0500]     3.8125 MB /   0.50 sec =   63.9626 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:52.971307-0500]     3.8125 MB /   0.50 sec =   63.9606 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:53.674408-0500]     3.8125 MB /   0.50 sec =   63.9539 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:54.056083-0500]     3.6250 MB /   0.50 sec =   60.8293 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:54.751310-0500]     3.8125 MB /   0.50 sec =   63.9596 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:55.059907-0500]     3.9375 MB /   0.50 sec =   66.0594 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:55.750356-0500]     3.8750 MB /   0.50 sec =   65.0129 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:56.054447-0500]     4.1875 MB /   0.50 sec =   70.2559 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:56.663931-0500]     4.1250 MB /   0.50 sec =   69.2084 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:57.189547-0500]     5.0000 MB /   0.50 sec =   83.8849 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:57.461506-0500]     5.0625 MB /   0.50 sec =   84.9352 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:58.024049-0500]     4.6875 MB /   0.50 sec =   78.6408 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:58.704923-0500]     4.3750 MB /   0.50 sec =   73.4031 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:58.985341-0500]     4.0000 MB /   0.50 sec =   67.0962 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:33:59.543794-0500]     4.8750 MB /   0.50 sec =   81.7726 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:00.145391-0500]     4.5000 MB /   0.50 sec =   75.5248 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:00.484432-0500]     4.1250 MB /   0.50 sec =   69.1868 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:01.079110-0500]     4.4375 MB /   0.50 sec =   74.4686 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:01.632717-0500]     4.6875 MB /   0.50 sec =   78.6429 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:01.954945-0500]     4.4375 MB /   0.50 sec =   74.4511 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:02.581694-0500]     4.5000 MB /   0.50 sec =   75.4955 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:03.245933-0500]     3.8750 MB /   0.50 sec =   65.0144 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:03.531109-0500]     4.3750 MB /   0.50 sec =   73.2522 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:04.309165-0500]     3.6250 MB /   0.50 sec =   60.8815 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:04.701370-0500]     3.4375 MB /   0.50 sec =   57.7209 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:05.088925-0500]     3.4375 MB /   0.50 sec =   57.6783 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:05.525442-0500]     3.0625 MB /   0.50 sec =   51.3784 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:06.305043-0500]     3.3125 MB /   0.50 sec =   55.5753 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:06.602715-0500]     3.9375 MB /   0.50 sec =   66.0550 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:06.960298-0500]     4.0000 MB /   0.50 sec =   67.1105 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:07.713762-0500]     3.4375 MB /   0.50 sec =   57.6732 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:08.065254-0500]     3.7500 MB /   0.50 sec =   62.9177 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:08.781642-0500]     3.6875 MB /   0.50 sec =   61.8655 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:09.123210-0500]     3.9375 MB /   0.50 sec =   66.0533 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:09.545017-0500]     3.1875 MB /   0.50 sec =   53.4823 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:10.260638-0500]     3.8125 MB /   0.50 sec =   63.9619 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:10.548909-0500]     4.0000 MB /   0.50 sec =   67.1089 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:11.305680-0500]     3.7500 MB /   0.50 sec =   62.9153 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:11.634158-0500]     3.6250 MB /   0.50 sec =   60.6926 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:11.960559-0500]     4.1875 MB /   0.50 sec =   70.3991 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:12.664221-0500]     3.8125 MB /   0.50 sec =   63.9631 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:13.011622-0500]     3.7500 MB /   0.50 sec =   62.8966 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:13.580091-0500]     4.6875 MB /   0.50 sec =   78.6681 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:14.004602-0500]     3.5000 MB /   0.50 sec =   58.7183 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:14.758133-0500]     3.5625 MB /   0.50 sec =   59.7646 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:15.145042-0500]     3.5000 MB /   0.50 sec =   58.7258 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:15.495551-0500]     3.6250 MB /   0.50 sec =   60.8184 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:16.161089-0500]     4.1875 MB /   0.50 sec =   70.2526 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:16.510377-0500]     3.8125 MB /   0.50 sec =   63.9636 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:17.265589-0500]     3.8125 MB /   0.50 sec =   63.9608 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:17.619398-0500]     3.6250 MB /   0.50 sec =   60.8197 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:17.999152-0500]     3.5625 MB /   0.50 sec =   59.7695 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:18.789546-0500]     3.6875 MB /   0.50 sec =   61.8625 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:19.188735-0500]     3.1250 MB /   0.50 sec =   52.4150 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:19.474465-0500]     4.0000 MB /   0.50 sec =   67.1295 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:20.131214-0500]     4.2500 MB /   0.50 sec =   71.2739 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:20.758821-0500]     4.0625 MB /   0.50 sec =   68.1840 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:21.130898-0500]     3.8750 MB /   0.50 sec =   65.0048 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:21.465041-0500]     4.0625 MB /   0.50 sec =   68.1666 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:22.194552-0500]     3.6250 MB /   0.50 sec =   60.8156 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:22.570323-0500]     3.5625 MB /   0.50 sec =   59.7563 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:22.950073-0500]     3.6250 MB /   0.50 sec =   60.8310 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:23.651476-0500]     3.6250 MB /   0.50 sec =   60.5803 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:24.010136-0500]     4.0000 MB /   0.50 sec =   67.3742 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:24.769704-0500]     3.5625 MB /   0.50 sec =   59.7664 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:25.160217-0500]     3.2500 MB /   0.50 sec =   54.5272 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:25.522704-0500]     3.8750 MB /   0.50 sec =   65.0117 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:26.270587-0500]     3.4375 MB /   0.50 sec =   57.6701 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:26.669728-0500]     3.5625 MB /   0.50 sec =   59.7660 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:27.035246-0500]     3.6250 MB /   0.50 sec =   60.8206 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:27.460482-0500]     3.1875 MB /   0.50 sec =   53.4163 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:28.069865-0500]     4.4375 MB /   0.50 sec =   74.5373 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:28.654308-0500]     4.5625 MB /   0.50 sec =   76.5462 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:28.970009-0500]     4.1875 MB /   0.50 sec =   70.2382 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:29.665642-0500]     3.7500 MB /   0.50 sec =   62.9270 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:30.003867-0500]     4.0625 MB /   0.50 sec =   68.1589 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:30.910219-0500]     3.3750 MB /   0.50 sec =   56.6228 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:31.384494-0500]     2.6250 MB /   0.50 sec =   44.0407 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:31.885575-0500]     2.7500 MB /   0.50 sec =   46.1352 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:32.254152-0500]     2.7500 MB /   0.50 sec =   46.1368 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:32.687587-0500]     3.5000 MB /   0.50 sec =   58.7221 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:33.095768-0500]     3.1875 MB /   0.50 sec =   53.4784 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:33.720044-0500]     3.9375 MB /   0.50 sec =   66.0599 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:34.005203-0500]     4.5000 MB /   0.50 sec =   75.4988 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:34.565653-0500]     4.8750 MB /   0.50 sec =   81.7884 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:35.182149-0500]     4.3125 MB /   0.50 sec =   72.3510 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:35.482886-0500]     4.3750 MB /   0.50 sec =   73.3999 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:36.120285-0500]     4.2500 MB /   0.50 sec =   71.0559 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:36.479100-0500]     3.8125 MB /   0.50 sec =   64.1879 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:37.160931-0500]     3.8750 MB /   0.50 sec =   65.0007 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:37.490385-0500]     4.0625 MB /   0.50 sec =   68.1674 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:38.105076-0500]     4.3125 MB /   0.50 sec =   72.3520 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:38.671469-0500]     4.6250 MB /   0.50 sec =   77.5957 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:39.187911-0500]     5.0000 MB /   0.50 sec =   83.8862 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:39.474961-0500]     4.9375 MB /   0.50 sec =   82.8231 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:40.041119-0500]     4.6250 MB /   0.50 sec =   77.6041 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:40.706601-0500]     4.2500 MB /   0.50 sec =   71.2058 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:41.092223-0500]     3.6250 MB /   0.50 sec =   60.9036 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:41.679830-0500]     4.2500 MB /   0.50 sec =   71.3017 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:41.982887-0500]     4.5000 MB /   0.50 sec =   75.4979 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:42.635076-0500]     4.1250 MB /   0.50 sec =   69.2063 Mbps     0 retrans   3086 KB-cwnd
[2024-11-07T10:34:43.645796-0500]     4.2500 MB /   0.50 sec =   71.3039 Mbps   129 retrans    987 KB-cwnd
[2024-11-07T10:34:43.646395-0500]     2.5000 MB /   0.50 sec =   41.9370 Mbps     0 retrans    987 KB-cwnd
[2024-11-07T10:34:44.189984-0500]     3.3750 MB /   0.50 sec =   56.6315 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:44.524222-0500]     4.1875 MB /   0.50 sec =   70.2556 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:45.170795-0500]     4.2500 MB /   0.50 sec =   71.3010 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:45.473335-0500]     4.0625 MB /   0.50 sec =   68.1456 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:46.074928-0500]     4.5625 MB /   0.50 sec =   76.5462 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:46.670820-0500]     4.4375 MB /   0.50 sec =   74.4630 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:46.969333-0500]     4.4375 MB /   0.50 sec =   74.4495 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:47.573405-0500]     4.2500 MB /   0.50 sec =   71.3030 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:48.142003-0500]     4.7500 MB /   0.50 sec =   79.6849 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:48.699506-0500]     5.0000 MB /   0.50 sec =   83.8842 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:48.965340-0500]     4.7500 MB /   0.50 sec =   79.6983 Mbps     0 retrans   2467 KB-cwnd
[2024-11-07T10:34:49.529305-0500]     4.8750 MB /   0.50 sec =   81.7884 Mbps     0 retrans   2467 KB-cwnd
