Start time: 1731108783993
[2024-11-08T18:33:05.029349-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T18:33:05.030459-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-08T18:33:05.030525-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T18:33:05.030565-0500] nuttcp-r: connect to 54.197.223.49 with RTT=71.724 ms af=inet
[2024-11-08T18:33:05.030606-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-08T18:33:05.030643-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-08T18:33:05.030683-0500]     0.9375 MB /   0.50 sec =   15.7257 Mbps     0 retrans     13 KB-cwnd
[2024-11-08T18:33:05.529421-0500]    36.0000 MB /   0.50 sec =  603.9737 Mbps     0 retrans     13 KB-cwnd
[2024-11-08T18:33:06.029646-0500]    61.1875 MB /   0.50 sec = 1026.5744 Mbps     0 retrans     26 KB-cwnd
[2024-11-08T18:33:06.529903-0500]    62.3125 MB /   0.50 sec = 1045.2442 Mbps     0 retrans     26 KB-cwnd
[2024-11-08T18:33:07.029702-0500]    66.2500 MB /   0.50 sec = 1111.6795 Mbps     0 retrans     37 KB-cwnd
[2024-11-08T18:33:07.530266-0500]    65.5000 MB /   0.50 sec = 1097.7287 Mbps     0 retrans     47 KB-cwnd
[2024-11-08T18:33:08.029386-0500]    67.8750 MB /   0.50 sec = 1140.0372 Mbps     0 retrans     63 KB-cwnd
[2024-11-08T18:33:08.529100-0500]    64.9375 MB /   0.50 sec = 1089.5663 Mbps     0 retrans  21075 KB-cwnd
[2024-11-08T18:33:09.029669-0500]    66.8125 MB /   0.50 sec = 1119.9153 Mbps     0 retrans  21075 KB-cwnd
[2024-11-08T18:33:09.529489-0500]    67.5625 MB /   0.50 sec = 1133.9869 Mbps     0 retrans  21387 KB-cwnd
[2024-11-08T18:33:10.029323-0500]    65.2500 MB /   0.50 sec = 1094.9608 Mbps     0 retrans  23483 KB-cwnd
[2024-11-08T18:33:10.529738-0500]    57.4375 MB /   0.50 sec =  962.9115 Mbps     0 retrans  23483 KB-cwnd
[2024-11-08T18:33:11.029602-0500]    49.8750 MB /   0.50 sec =  836.9227 Mbps     0 retrans  27040 KB-cwnd
[2024-11-08T18:33:11.529752-0500]    40.5000 MB /   0.50 sec =  679.3115 Mbps     0 retrans  27040 KB-cwnd
[2024-11-08T18:33:12.030228-0500]    34.9375 MB /   0.50 sec =  585.5789 Mbps     0 retrans  27040 KB-cwnd
[2024-11-08T18:33:12.529373-0500]    36.0000 MB /   0.50 sec =  604.9150 Mbps     0 retrans  27040 KB-cwnd
[2024-11-08T18:33:13.030199-0500]    35.8125 MB /   0.50 sec =  599.9617 Mbps     0 retrans  22660 KB-cwnd
[2024-11-08T18:33:13.529592-0500]    20.1875 MB /   0.50 sec =  339.2675 Mbps     0 retrans  22660 KB-cwnd
[2024-11-08T18:33:14.029425-0500]    16.2500 MB /   0.50 sec =  272.6592 Mbps     0 retrans  22660 KB-cwnd
[2024-11-08T18:33:14.529726-0500]    38.6875 MB /   0.50 sec =  649.1140 Mbps     0 retrans  22660 KB-cwnd
[2024-11-08T18:33:15.029259-0500]    38.6250 MB /   0.50 sec =  647.9629 Mbps     0 retrans  22660 KB-cwnd
[2024-11-08T18:33:15.529735-0500]    46.3125 MB /   0.50 sec =  776.3334 Mbps     0 retrans  19740 KB-cwnd
[2024-11-08T18:33:16.029298-0500]    47.9375 MB /   0.50 sec =  804.9533 Mbps     0 retrans  19740 KB-cwnd
[2024-11-08T18:33:16.529129-0500]    42.9375 MB /   0.50 sec =  720.4625 Mbps     0 retrans  19740 KB-cwnd
