Start time: 1730506542590
[2024-11-01T17:15:43.473625-0700] nuttcp-t: v8.1.4: socket
[2024-11-01T17:15:43.474207-0700] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 161.188.33.234
[2024-11-01T17:15:43.474248-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-01T17:15:43.474276-0700] nuttcp-t: connect to 161.188.33.234 with mss=1376, RTT=19.583 ms af=inet
[2024-11-01T17:15:43.474301-0700] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-01T17:15:43.474326-0700] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-01T17:15:43.474350-0700] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-01T17:15:43.474373-0700] nuttcp-r: v6.1.2: socket
[2024-11-01T17:15:43.474403-0700] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-01T17:15:43.474428-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-01T17:15:43.474451-0700] nuttcp-r: accept from 174.218.103.182
[2024-11-01T17:15:43.474474-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-01T17:15:43.474497-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-01T17:15:43.474521-0700]     0.8125 MB /   0.50 sec =   13.6323 Mbps     0 retrans   1162 KB-cwnd
[2024-11-01T17:15:44.331820-0700]     1.0625 MB /   0.50 sec =   17.8254 Mbps     0 retrans   1402 KB-cwnd
[2024-11-01T17:15:44.332173-0700]     1.0625 MB /   0.50 sec =   17.8255 Mbps     0 retrans   1402 KB-cwnd
[2024-11-01T17:15:45.615994-0700]     1.0625 MB /   0.50 sec =   17.8216 Mbps    14 retrans   1120 KB-cwnd
[2024-11-01T17:15:45.616246-0700]     1.1875 MB /   0.50 sec =   19.9282 Mbps     0 retrans   1120 KB-cwnd
[2024-11-01T17:15:46.123383-0700]     1.7500 MB /   0.50 sec =   29.3586 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:46.600097-0700]     2.6875 MB /   0.50 sec =   45.0911 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:47.029690-0700]     3.0625 MB /   0.50 sec =   51.3791 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:47.467835-0700]     3.0000 MB /   0.50 sec =   50.3321 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:47.896309-0700]     3.0625 MB /   0.50 sec =   51.3818 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:48.387976-0700]     2.8125 MB /   0.50 sec =   47.1842 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:48.931742-0700]     2.3750 MB /   0.50 sec =   39.8474 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:49.495870-0700]     2.4375 MB /   0.50 sec =   40.8922 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:49.929649-0700]     2.8125 MB /   0.50 sec =   47.1886 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:50.417816-0700]     2.8125 MB /   0.50 sec =   47.1836 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:50.895882-0700]     2.8125 MB /   0.50 sec =   47.1875 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:51.439582-0700]     2.5000 MB /   0.50 sec =   41.9408 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:51.955948-0700]     2.5625 MB /   0.50 sec =   42.9921 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:52.537903-0700]     2.3750 MB /   0.50 sec =   39.8482 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:53.111624-0700]     2.1250 MB /   0.50 sec =   35.6507 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:53.659138-0700]     2.5000 MB /   0.50 sec =   41.9424 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:54.147166-0700]     2.4375 MB /   0.50 sec =   40.8954 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:54.589638-0700]     2.8750 MB /   0.50 sec =   48.2334 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:54.999610-0700]     3.1250 MB /   0.50 sec =   52.4271 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:55.442216-0700]     3.1250 MB /   0.50 sec =   52.4319 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:55.955540-0700]     2.6875 MB /   0.50 sec =   45.0889 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:56.393526-0700]     2.8750 MB /   0.50 sec =   48.2330 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:57.187936-0700]     3.3125 MB /   0.50 sec =   55.5743 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:57.631560-0700]     3.1250 MB /   0.50 sec =   52.4198 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:58.084366-0700]     3.1250 MB /   0.50 sec =   52.4380 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:58.561761-0700]     3.0000 MB /   0.50 sec =   50.3326 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:59.163479-0700]     2.3125 MB /   0.50 sec =   38.7955 Mbps     0 retrans   1175 KB-cwnd
[2024-11-01T17:15:59.689898-0700]     2.3750 MB /   0.50 sec =   39.8470 Mbps     0 retrans   1175 KB-cwnd
