Start time: 1730569880851
[2024-11-02T10:51:21.698692-0700] nuttcp-t: v8.1.4: socket
[2024-11-02T10:51:21.699227-0700] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 155.146.118.158
[2024-11-02T10:51:21.699266-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-02T10:51:21.699293-0700] nuttcp-t: connect to 155.146.118.158 with mss=1376, RTT=20.246 ms af=inet
[2024-11-02T10:51:21.699318-0700] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-02T10:51:21.699345-0700] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-02T10:51:21.699370-0700] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-02T10:51:21.699396-0700] nuttcp-r: v6.1.2: socket
[2024-11-02T10:51:21.699423-0700] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-02T10:51:21.699447-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T10:51:21.699471-0700] nuttcp-r: accept from 174.234.90.209
[2024-11-02T10:51:21.699497-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-02T10:51:21.699520-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-02T10:51:21.699544-0700]     1.9375 MB /   0.50 sec =   32.4978 Mbps    44 retrans   1608 KB-cwnd
[2024-11-02T10:51:22.246285-0700]     4.6250 MB /   0.50 sec =   77.6098 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:22.756307-0700]     5.1250 MB /   0.50 sec =   85.9729 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:23.254789-0700]     5.3125 MB /   0.50 sec =   89.1416 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:23.702375-0700]     5.8125 MB /   0.50 sec =   97.5037 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:24.201424-0700]     5.5000 MB /   0.50 sec =   92.2791 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:24.694243-0700]     5.4375 MB /   0.50 sec =   91.2261 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:25.261176-0700]     5.1250 MB /   0.50 sec =   85.9930 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:25.862909-0700]     4.4375 MB /   0.50 sec =   74.4400 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:26.212087-0700]     4.1250 MB /   0.50 sec =   69.2064 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:26.969011-0700]     3.7500 MB /   0.50 sec =   62.9186 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:27.368823-0700]     3.3125 MB /   0.50 sec =   55.5762 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:27.762104-0700]     3.3750 MB /   0.50 sec =   56.6222 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:28.209308-0700]     3.2500 MB /   0.50 sec =   54.5195 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:28.995117-0700]     3.3750 MB /   0.50 sec =   56.6254 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:29.350366-0700]     3.3750 MB /   0.50 sec =   56.6070 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:29.706356-0700]     3.6250 MB /   0.50 sec =   60.8397 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:30.461480-0700]     3.6250 MB /   0.50 sec =   60.8166 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:30.856350-0700]     3.5000 MB /   0.50 sec =   58.7210 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:31.210796-0700]     3.5000 MB /   0.50 sec =   58.7091 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:31.598431-0700]     3.6250 MB /   0.50 sec =   60.8212 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:32.412600-0700]     3.1875 MB /   0.50 sec =   53.4848 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:32.836230-0700]     3.3750 MB /   0.50 sec =   56.6250 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:33.263887-0700]     3.1250 MB /   0.50 sec =   52.4264 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:33.682266-0700]     3.1250 MB /   0.50 sec =   52.4285 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:34.112420-0700]     3.2500 MB /   0.50 sec =   54.5267 Mbps     0 retrans   1640 KB-cwnd
[2024-11-02T10:51:34.840148-0700]     3.4375 MB /   0.50 sec =   57.6701 Mbps     0 retrans   1640 KB-cwnd
