Start time: 1730577469616
[2024-11-02T12:57:50.711933-0700] nuttcp-t: v8.1.4: socket
[2024-11-02T12:57:50.712605-0700] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 54.176.53.206
[2024-11-02T12:57:50.712647-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-02T12:57:50.712677-0700] nuttcp-t: connect to 54.176.53.206 with mss=1376, RTT=51.493 ms af=inet
[2024-11-02T12:57:50.712705-0700] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-02T12:57:50.712730-0700] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-02T12:57:50.712755-0700] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-02T12:57:50.712782-0700] nuttcp-r: v6.1.2: socket
[2024-11-02T12:57:50.712842-0700] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-02T12:57:50.712988-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T12:57:50.713085-0700] nuttcp-r: accept from 174.234.90.209
[2024-11-02T12:57:50.713182-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-02T12:57:50.713280-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-02T12:57:50.713376-0700]     0.6250 MB /   0.50 sec =   10.4848 Mbps    53 retrans    305 KB-cwnd
[2024-11-02T12:57:51.182991-0700]     0.8125 MB /   0.50 sec =   13.6323 Mbps   163 retrans    413 KB-cwnd
[2024-11-02T12:57:51.500446-0700]     1.7500 MB /   0.50 sec =   29.3591 Mbps     0 retrans    417 KB-cwnd
[2024-11-02T12:57:52.132928-0700]     2.0000 MB /   0.50 sec =   33.5556 Mbps     0 retrans    425 KB-cwnd
[2024-11-02T12:57:52.623016-0700]     1.8750 MB /   0.50 sec =   31.4569 Mbps     0 retrans    685 KB-cwnd
[2024-11-02T12:57:54.941059-0700]     0.7500 MB /   0.50 sec =   12.5827 Mbps   468 retrans     72 KB-cwnd
[2024-11-02T12:57:54.941456-0700]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     72 KB-cwnd
[2024-11-02T12:57:54.941598-0700]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     72 KB-cwnd
[2024-11-02T12:57:54.941709-0700]     0.9375 MB /   0.50 sec =   15.7264 Mbps     0 retrans     72 KB-cwnd
[2024-11-02T12:57:56.272882-0700]     0.4375 MB /   0.50 sec =    7.3411 Mbps   181 retrans    159 KB-cwnd
[2024-11-02T12:57:56.273288-0700]     0.6250 MB /   0.50 sec =   10.4860 Mbps     0 retrans    159 KB-cwnd
[2024-11-02T12:57:56.273429-0700]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans    159 KB-cwnd
[2024-11-02T12:57:57.581268-0700]     0.7500 MB /   0.50 sec =   12.5814 Mbps     9 retrans    149 KB-cwnd
[2024-11-02T12:57:57.581877-0700]     0.6875 MB /   0.50 sec =   11.5360 Mbps     0 retrans    149 KB-cwnd
[2024-11-02T12:57:57.582255-0700]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans    149 KB-cwnd
[2024-11-02T12:57:59.177097-0700]     0.5625 MB /   0.50 sec =    9.4374 Mbps     3 retrans    130 KB-cwnd
[2024-11-02T12:57:59.177641-0700]     0.3750 MB /   0.50 sec =    6.2908 Mbps     0 retrans    130 KB-cwnd
[2024-11-02T12:57:59.177886-0700]     0.4375 MB /   0.50 sec =    7.3408 Mbps     0 retrans    130 KB-cwnd
[2024-11-02T12:58:03.448079-0700]     0.5000 MB /   0.50 sec =    8.3885 Mbps    85 retrans     14 KB-cwnd
