Start time: 1730838242699
[2024-11-05T14:24:02.899177-0600] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2024-11-05T14:24:02.899933-0600] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=252 time=85.3 ms
[2024-11-05T14:24:03.079226-0600] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=252 time=64.0 ms
[2024-11-05T14:24:03.278877-0600] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=252 time=63.0 ms
[2024-11-05T14:24:03.479581-0600] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=252 time=63.1 ms
[2024-11-05T14:24:03.675504-0600] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=252 time=58.5 ms
[2024-11-05T14:24:03.878527-0600] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=252 time=60.4 ms
[2024-11-05T14:24:04.078988-0600] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=252 time=59.8 ms
[2024-11-05T14:24:04.288012-0600] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=252 time=68.2 ms
[2024-11-05T14:24:04.488571-0600] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=252 time=67.9 ms
[2024-11-05T14:24:04.688542-0600] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=252 time=67.3 ms
[2024-11-05T14:24:04.888842-0600] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=252 time=66.5 ms
[2024-11-05T14:24:05.089750-0600] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=252 time=67.2 ms
[2024-11-05T14:24:05.291686-0600] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=252 time=68.3 ms
[2024-11-05T14:24:05.497024-0600] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=252 time=72.5 ms
[2024-11-05T14:24:05.688864-0600] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=252 time=64.1 ms
[2024-11-05T14:24:05.888512-0600] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=252 time=63.0 ms
[2024-11-05T14:24:06.087706-0600] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=252 time=61.5 ms
[2024-11-05T14:24:06.299616-0600] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=252 time=72.3 ms
[2024-11-05T14:24:06.488784-0600] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=252 time=60.4 ms
[2024-11-05T14:24:06.687736-0600] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=252 time=58.1 ms
[2024-11-05T14:24:06.898649-0600] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=252 time=68.3 ms
[2024-11-05T14:24:07.099771-0600] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=252 time=68.4 ms
[2024-11-05T14:24:07.298723-0600] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=252 time=66.2 ms
[2024-11-05T14:24:07.498629-0600] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=252 time=65.3 ms
[2024-11-05T14:24:07.705946-0600] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=252 time=71.4 ms
[2024-11-05T14:24:07.898605-0600] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=252 time=64.1 ms
[2024-11-05T14:24:08.098622-0600] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=252 time=63.4 ms
[2024-11-05T14:24:08.307660-0600] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=252 time=71.3 ms
[2024-11-05T14:24:08.508864-0600] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=252 time=71.4 ms
[2024-11-05T14:24:08.698837-0600] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=252 time=60.1 ms
[2024-11-05T14:24:08.898594-0600] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=252 time=59.2 ms
[2024-11-05T14:24:09.107768-0600] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=252 time=67.5 ms
[2024-11-05T14:24:09.308860-0600] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=252 time=67.3 ms
[2024-11-05T14:24:09.508525-0600] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=252 time=66.1 ms
[2024-11-05T14:24:09.708280-0600] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=252 time=65.3 ms
[2024-11-05T14:24:09.908777-0600] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=252 time=64.8 ms
[2024-11-05T14:24:10.167809-0600] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=252 time=123 ms
[2024-11-05T14:24:10.314706-0600] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=252 time=69.2 ms
[2024-11-05T14:24:10.525528-0600] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=252 time=79.3 ms
[2024-11-05T14:24:10.707830-0600] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=252 time=60.4 ms
[2024-11-05T14:24:10.907699-0600] 46 bytes from 54.197.223.49: icmp_seq=41 ttl=252 time=59.2 ms
[2024-11-05T14:24:11.117217-0600] 46 bytes from 54.197.223.49: icmp_seq=42 ttl=252 time=67.8 ms
[2024-11-05T14:24:11.317657-0600] 46 bytes from 54.197.223.49: icmp_seq=43 ttl=252 time=67.7 ms
[2024-11-05T14:24:11.516346-0600] 46 bytes from 54.197.223.49: icmp_seq=44 ttl=252 time=66.2 ms
[2024-11-05T14:24:11.717803-0600] 46 bytes from 54.197.223.49: icmp_seq=45 ttl=252 time=66.6 ms
[2024-11-05T14:24:11.916545-0600] 46 bytes from 54.197.223.49: icmp_seq=46 ttl=252 time=65.1 ms
[2024-11-05T14:24:12.126724-0600] 46 bytes from 54.197.223.49: icmp_seq=47 ttl=252 time=74.4 ms
[2024-11-05T14:24:12.318794-0600] 46 bytes from 54.197.223.49: icmp_seq=48 ttl=252 time=65.3 ms
[2024-11-05T14:24:12.526318-0600] 46 bytes from 54.197.223.49: icmp_seq=49 ttl=252 time=72.1 ms
[2024-11-05T14:24:12.717514-0600] 46 bytes from 54.197.223.49: icmp_seq=50 ttl=252 time=62.5 ms
[2024-11-05T14:24:12.927570-0600] 46 bytes from 54.197.223.49: icmp_seq=51 ttl=252 time=71.5 ms
[2024-11-05T14:24:13.124909-0600] 46 bytes from 54.197.223.49: icmp_seq=52 ttl=252 time=67.4 ms
[2024-11-05T14:24:13.317686-0600] 46 bytes from 54.197.223.49: icmp_seq=53 ttl=252 time=60.1 ms
[2024-11-05T14:24:13.518327-0600] 46 bytes from 54.197.223.49: icmp_seq=54 ttl=252 time=60.1 ms
[2024-11-05T14:24:13.727816-0600] 46 bytes from 54.197.223.49: icmp_seq=55 ttl=252 time=68.6 ms
[2024-11-05T14:24:13.927504-0600] 46 bytes from 54.197.223.49: icmp_seq=56 ttl=252 time=68.1 ms
[2024-11-05T14:24:14.127650-0600] 46 bytes from 54.197.223.49: icmp_seq=57 ttl=252 time=67.4 ms
[2024-11-05T14:24:14.327789-0600] 46 bytes from 54.197.223.49: icmp_seq=58 ttl=252 time=66.3 ms
[2024-11-05T14:24:14.526410-0600] 46 bytes from 54.197.223.49: icmp_seq=59 ttl=252 time=64.0 ms
[2024-11-05T14:24:14.727829-0600] 46 bytes from 54.197.223.49: icmp_seq=60 ttl=252 time=64.4 ms
[2024-11-05T14:24:14.927492-0600] 46 bytes from 54.197.223.49: icmp_seq=61 ttl=252 time=64.0 ms
[2024-11-05T14:24:15.125719-0600] 46 bytes from 54.197.223.49: icmp_seq=62 ttl=252 time=61.5 ms
