Start time: 1730850132777
[2024-11-05T17:42:13.823396-0600] nuttcp-t: v8.1.4: socket
[2024-11-05T17:42:13.824530-0600] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 155.146.180.31
[2024-11-05T17:42:13.824809-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-05T17:42:13.824939-0600] nuttcp-t: connect to 155.146.180.31 with mss=1376, RTT=80.249 ms af=inet
[2024-11-05T17:42:13.825050-0600] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-05T17:42:13.825159-0600] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-05T17:42:13.825262-0600] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-05T17:42:13.825364-0600] nuttcp-r: v8.1.4: socket
[2024-11-05T17:42:13.825465-0600] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-05T17:42:13.825565-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-05T17:42:13.825665-0600] nuttcp-r: accept from 174.234.186.29 with af=inet
[2024-11-05T17:42:13.825768-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-05T17:42:13.825883-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-05T17:42:13.826006-0600]     0.8125 MB /   0.50 sec =   13.6310 Mbps     0 retrans    896 KB-cwnd
[2024-11-05T17:42:14.360727-0600]     2.6250 MB /   0.50 sec =   44.0403 Mbps     0 retrans   2339 KB-cwnd
[2024-11-05T17:42:14.821168-0600]     2.9375 MB /   0.50 sec =   49.2826 Mbps     0 retrans   2360 KB-cwnd
[2024-11-05T17:42:15.716148-0600]     2.8750 MB /   0.50 sec =   48.2351 Mbps     0 retrans   2620 KB-cwnd
[2024-11-05T17:42:16.091744-0600]     3.1875 MB /   0.50 sec =   53.4771 Mbps     0 retrans   2620 KB-cwnd
[2024-11-05T17:42:16.467189-0600]     3.5625 MB /   0.50 sec =   59.7686 Mbps     0 retrans   2620 KB-cwnd
[2024-11-05T17:42:16.843762-0600]     3.5000 MB /   0.50 sec =   58.7210 Mbps     0 retrans   2620 KB-cwnd
[2024-11-05T17:42:17.606235-0600]     3.5000 MB /   0.50 sec =   58.7212 Mbps     0 retrans   2688 KB-cwnd
[2024-11-05T17:42:17.969098-0600]     3.6250 MB /   0.50 sec =   60.8187 Mbps     0 retrans   2731 KB-cwnd
[2024-11-05T17:42:18.369497-0600]     3.3750 MB /   0.50 sec =   56.6204 Mbps     0 retrans   2731 KB-cwnd
[2024-11-05T17:42:18.828741-0600]     3.1250 MB /   0.50 sec =   52.4291 Mbps     0 retrans   2731 KB-cwnd
[2024-11-05T17:42:19.741770-0600]     3.0000 MB /   0.50 sec =   50.3286 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:20.223771-0600]     2.9375 MB /   0.50 sec =   49.2860 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:20.740726-0600]     2.6250 MB /   0.50 sec =   44.0401 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:21.359974-0600]     2.5625 MB /   0.50 sec =   42.9882 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:21.360346-0600]     2.1875 MB /   0.50 sec =   36.7030 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:21.909746-0600]     2.2500 MB /   0.50 sec =   37.7491 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:22.402097-0600]     2.7500 MB /   0.50 sec =   46.1369 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:23.057217-0600]     2.4375 MB /   0.50 sec =   40.8948 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:23.581152-0600]     2.0000 MB /   0.50 sec =   33.5542 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:23.919494-0600]     3.1875 MB /   0.50 sec =   53.4797 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:24.573574-0600]     4.1875 MB /   0.50 sec =   70.2477 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:24.899819-0600]     3.9375 MB /   0.50 sec =   66.0652 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:25.540542-0600]     4.1250 MB /   0.50 sec =   69.2019 Mbps     0 retrans   3074 KB-cwnd
[2024-11-05T17:42:25.873438-0600]     4.1250 MB /   0.50 sec =   69.2092 Mbps     0 retrans   3074 KB-cwnd
