Start time: 1730851240125
[2024-11-05T18:00:41.175967-0600] nuttcp-t: v8.1.4: socket
[2024-11-05T18:00:41.176817-0600] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 155.146.180.31
[2024-11-05T18:00:41.176877-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-05T18:00:41.176915-0600] nuttcp-t: connect to 155.146.180.31 with mss=1376, RTT=87.241 ms af=inet
[2024-11-05T18:00:41.176950-0600] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-05T18:00:41.176984-0600] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-05T18:00:41.177016-0600] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-05T18:00:41.177050-0600] nuttcp-r: v8.1.4: socket
[2024-11-05T18:00:41.177082-0600] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-05T18:00:41.177115-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-05T18:00:41.177159-0600] nuttcp-r: accept from 174.234.186.29 with af=inet
[2024-11-05T18:00:41.177193-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-05T18:00:41.177225-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-05T18:00:41.177258-0600]     0.9375 MB /   0.50 sec =   15.7279 Mbps     0 retrans   1202 KB-cwnd
[2024-11-05T18:00:41.677931-0600]     4.5000 MB /   0.50 sec =   75.4978 Mbps     0 retrans   3296 KB-cwnd
[2024-11-05T18:00:42.227855-0600]     4.8750 MB /   0.50 sec =   81.7889 Mbps     0 retrans   3536 KB-cwnd
[2024-11-05T18:00:42.757874-0600]     5.1250 MB /   0.50 sec =   85.9803 Mbps     0 retrans   3624 KB-cwnd
[2024-11-05T18:00:43.337902-0600]     4.5625 MB /   0.50 sec =   76.5487 Mbps     0 retrans   3624 KB-cwnd
[2024-11-05T18:00:43.920728-0600]     4.6250 MB /   0.50 sec =   77.5943 Mbps     0 retrans   3624 KB-cwnd
[2024-11-05T18:00:44.229924-0600]     4.3750 MB /   0.50 sec =   73.3975 Mbps     0 retrans   3624 KB-cwnd
[2024-11-05T18:00:44.869728-0600]     4.1875 MB /   0.50 sec =   70.2493 Mbps     0 retrans   3624 KB-cwnd
[2024-11-05T18:00:45.170172-0600]     4.3750 MB /   0.50 sec =   73.4093 Mbps     0 retrans   3624 KB-cwnd
[2024-11-05T18:00:45.805819-0600]     4.5000 MB /   0.50 sec =   75.4967 Mbps     0 retrans   4381 KB-cwnd
[2024-11-05T18:00:46.385701-0600]     4.6250 MB /   0.50 sec =   77.5808 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:46.699837-0600]     4.2500 MB /   0.50 sec =   71.3143 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:47.343701-0600]     4.1875 MB /   0.50 sec =   70.2566 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:47.699772-0600]     4.0000 MB /   0.50 sec =   67.0946 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:48.303712-0600]     4.2500 MB /   0.50 sec =   71.3045 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:48.945993-0600]     4.1250 MB /   0.50 sec =   69.2067 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:49.269874-0600]     4.2500 MB /   0.50 sec =   71.3191 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:50.027569-0600]     3.7500 MB /   0.50 sec =   62.9019 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:50.361707-0600]     3.6875 MB /   0.50 sec =   61.8639 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:50.693603-0600]     3.8750 MB /   0.50 sec =   65.0122 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:51.283738-0600]     4.6250 MB /   0.50 sec =   77.6097 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:51.857698-0600]     4.7500 MB /   0.50 sec =   79.6911 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:52.411910-0600]     4.6250 MB /   0.50 sec =   77.5805 Mbps     0 retrans   4419 KB-cwnd
[2024-11-05T18:00:52.692316-0600]     5.0000 MB /   0.50 sec =   83.9007 Mbps     0 retrans   4419 KB-cwnd
