Start time: 1731006709548
[2024-11-07T14:11:50.418083-0500] nuttcp-r: v8.1.4: socket
[2024-11-07T14:11:50.418801-0500] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-07T14:11:50.418880-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-07T14:11:50.418946-0500] nuttcp-r: connect to 54.197.223.49 with RTT=49.201 ms af=inet
[2024-11-07T14:11:50.419009-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-07T14:11:50.419069-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-07T14:11:50.419132-0500]     0.6250 MB /   0.50 sec =   10.4835 Mbps     0 retrans     13 KB-cwnd
[2024-11-07T14:11:50.918048-0500]     0.8125 MB /   0.50 sec =   13.6321 Mbps     0 retrans     13 KB-cwnd
[2024-11-07T14:11:51.418171-0500]    12.5000 MB /   0.50 sec =  209.6946 Mbps     0 retrans     13 KB-cwnd
[2024-11-07T14:11:51.918438-0500]    43.0625 MB /   0.50 sec =  721.9736 Mbps     0 retrans     13 KB-cwnd
[2024-11-07T14:11:52.418076-0500]    89.6250 MB /   0.50 sec = 1504.8287 Mbps     0 retrans     26 KB-cwnd
[2024-11-07T14:11:52.918016-0500]    78.4375 MB /   0.50 sec = 1315.9918 Mbps     0 retrans     29 KB-cwnd
[2024-11-07T14:11:53.417896-0500]    99.1250 MB /   0.50 sec = 1663.1945 Mbps     0 retrans     51 KB-cwnd
[2024-11-07T14:11:53.918093-0500]    56.6250 MB /   0.50 sec =  949.8370 Mbps     0 retrans     53 KB-cwnd
[2024-11-07T14:11:54.418002-0500]     5.6250 MB /   0.50 sec =   94.3813 Mbps     0 retrans     53 KB-cwnd
[2024-11-07T14:11:54.918105-0500]    11.1250 MB /   0.50 sec =  186.6148 Mbps     0 retrans     53 KB-cwnd
[2024-11-07T14:11:55.417942-0500]     5.7500 MB /   0.50 sec =   96.4912 Mbps     0 retrans     53 KB-cwnd
[2024-11-07T14:11:55.918101-0500]     1.2500 MB /   0.50 sec =   20.9697 Mbps     0 retrans     53 KB-cwnd
[2024-11-07T14:11:56.417972-0500]    33.6250 MB /   0.50 sec =  564.1553 Mbps     0 retrans  15697 KB-cwnd
[2024-11-07T14:11:56.918494-0500]    97.0000 MB /   0.50 sec = 1627.2630 Mbps     0 retrans  15700 KB-cwnd
[2024-11-07T14:11:57.418131-0500]   107.0625 MB /   0.50 sec = 1796.2215 Mbps     0 retrans  18995 KB-cwnd
[2024-11-07T14:11:57.918075-0500]   117.2500 MB /   0.50 sec = 1967.4709 Mbps     0 retrans  17740 KB-cwnd
[2024-11-07T14:11:58.418114-0500]    88.3750 MB /   0.50 sec = 1482.5916 Mbps     0 retrans  19696 KB-cwnd
[2024-11-07T14:11:58.918701-0500]    49.0000 MB /   0.50 sec =  820.9146 Mbps     0 retrans  19696 KB-cwnd
[2024-11-07T14:11:59.418093-0500]    43.7500 MB /   0.50 sec =  734.9130 Mbps     0 retrans  24273 KB-cwnd
[2024-11-07T14:11:59.918113-0500]    27.1875 MB /   0.50 sec =  456.1379 Mbps     0 retrans  24270 KB-cwnd
[2024-11-07T14:12:00.418050-0500]    36.3750 MB /   0.50 sec =  610.3530 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:00.918041-0500]    24.2500 MB /   0.50 sec =  406.7979 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:01.418106-0500]     8.5625 MB /   0.50 sec =  143.6193 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:01.918369-0500]     6.2500 MB /   0.50 sec =  104.8247 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:02.418027-0500]     7.7500 MB /   0.50 sec =  130.0973 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:02.918959-0500]     4.6250 MB /   0.50 sec =   77.4547 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:03.418163-0500]     8.0625 MB /   0.50 sec =  135.4852 Mbps     0 retrans  17896 KB-cwnd
[2024-11-07T14:12:03.918348-0500]    20.8750 MB /   0.50 sec =  350.0753 Mbps     0 retrans   8618 KB-cwnd
[2024-11-07T14:12:04.417948-0500]    20.8125 MB /   0.50 sec =  349.4407 Mbps     0 retrans   8618 KB-cwnd
[2024-11-07T14:12:04.917999-0500]    18.6875 MB /   0.50 sec =  313.5129 Mbps     0 retrans   8618 KB-cwnd
[2024-11-07T14:12:05.417968-0500]     4.0000 MB /   0.50 sec =   67.1115 Mbps     0 retrans   8922 KB-cwnd
[2024-11-07T14:12:05.918009-0500]     5.0625 MB /   0.50 sec =   84.9328 Mbps     0 retrans   8922 KB-cwnd
[2024-11-07T14:12:06.417968-0500]    10.4375 MB /   0.50 sec =  175.1132 Mbps     0 retrans   8922 KB-cwnd
[2024-11-07T14:12:06.917965-0500]    22.6875 MB /   0.50 sec =  380.6293 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:07.417957-0500]    15.6875 MB /   0.50 sec =  263.2005 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:07.918048-0500]    10.5000 MB /   0.50 sec =  176.1340 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:08.418139-0500]     0.3125 MB /   0.50 sec =    5.2421 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:08.918081-0500]     0.1250 MB /   0.50 sec =    2.0979 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:09.418450-0500]     0.1875 MB /   0.50 sec =    3.1429 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:09.918078-0500]     0.3125 MB /   0.50 sec =    5.2477 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:10.418397-0500]     5.8750 MB /   0.50 sec =   98.4998 Mbps     0 retrans   7855 KB-cwnd
[2024-11-07T14:12:10.917941-0500]     4.2500 MB /   0.50 sec =   71.3480 Mbps     0 retrans   7877 KB-cwnd
[2024-11-07T14:12:11.417999-0500]     7.2500 MB /   0.50 sec =  121.6273 Mbps     0 retrans   7877 KB-cwnd
[2024-11-07T14:12:11.918122-0500]     5.1875 MB /   0.50 sec =   87.0113 Mbps     0 retrans   7877 KB-cwnd
[2024-11-07T14:12:12.417997-0500]     4.8750 MB /   0.50 sec =   81.8094 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:12.917977-0500]     3.8750 MB /   0.50 sec =   65.0137 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:13.418075-0500]     5.0625 MB /   0.50 sec =   84.9209 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:13.917979-0500]     5.4375 MB /   0.50 sec =   91.2433 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:14.418103-0500]     3.3125 MB /   0.50 sec =   55.5765 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:14.917993-0500]     4.5000 MB /   0.50 sec =   75.4919 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:15.418108-0500]     4.0625 MB /   0.50 sec =   68.1593 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:15.918020-0500]     3.8125 MB /   0.50 sec =   63.9555 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:16.418469-0500]     5.7500 MB /   0.50 sec =   96.3898 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:16.918005-0500]     7.1250 MB /   0.50 sec =  119.6465 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:17.418212-0500]     7.0000 MB /   0.50 sec =  117.4506 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:17.917998-0500]     7.1250 MB /   0.50 sec =  119.5283 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:18.417970-0500]     8.1875 MB /   0.50 sec =  137.3662 Mbps     0 retrans   5541 KB-cwnd
[2024-11-07T14:12:18.918179-0500]    10.1875 MB /   0.50 sec =  170.9131 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:19.418028-0500]    12.6250 MB /   0.50 sec =  211.8018 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:19.918238-0500]    10.5000 MB /   0.50 sec =  176.1696 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:20.418464-0500]     7.4375 MB /   0.50 sec =  124.6691 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:20.917983-0500]     7.8125 MB /   0.50 sec =  131.1932 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:21.417996-0500]     7.2500 MB /   0.50 sec =  121.6331 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:21.918102-0500]    10.7500 MB /   0.50 sec =  180.3161 Mbps     0 retrans   5490 KB-cwnd
[2024-11-07T14:12:22.417994-0500]    12.2500 MB /   0.50 sec =  205.5661 Mbps     0 retrans   8027 KB-cwnd
[2024-11-07T14:12:22.918011-0500]    11.5000 MB /   0.50 sec =  192.9349 Mbps     0 retrans   8027 KB-cwnd
