Start time: 1731011543818
[2024-11-07T15:32:23.996] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-07T15:32:23.996] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-07T15:32:24.136] - client - INFO - 46 bytes from 54.197.223.49: time=139.60 ms
[2024-11-07T15:32:24.455] - client - INFO - 46 bytes from 54.197.223.49: time=118.15 ms
[2024-11-07T15:32:24.700] - client - INFO - 46 bytes from 54.197.223.49: time=43.45 ms
[2024-11-07T15:32:24.939] - client - INFO - 46 bytes from 54.197.223.49: time=38.13 ms
[2024-11-07T15:32:25.189] - client - INFO - 46 bytes from 54.197.223.49: time=48.51 ms
[2024-11-07T15:32:25.428] - client - INFO - 46 bytes from 54.197.223.49: time=38.02 ms
[2024-11-07T15:32:25.673] - client - INFO - 46 bytes from 54.197.223.49: time=43.14 ms
[2024-11-07T15:32:25.923] - client - INFO - 46 bytes from 54.197.223.49: time=49.65 ms
[2024-11-07T15:32:26.177] - client - INFO - 46 bytes from 54.197.223.49: time=52.39 ms
[2024-11-07T15:32:26.424] - client - INFO - 46 bytes from 54.197.223.49: time=45.73 ms
[2024-11-07T15:32:26.672] - client - INFO - 46 bytes from 54.197.223.49: time=46.83 ms
[2024-11-07T15:32:26.911] - client - INFO - 46 bytes from 54.197.223.49: time=38.27 ms
[2024-11-07T15:32:27.158] - client - INFO - 46 bytes from 54.197.223.49: time=45.68 ms
[2024-11-07T15:32:27.404] - client - INFO - 46 bytes from 54.197.223.49: time=45.39 ms
[2024-11-07T15:32:27.653] - client - INFO - 46 bytes from 54.197.223.49: time=47.51 ms
[2024-11-07T15:32:27.902] - client - INFO - 46 bytes from 54.197.223.49: time=48.46 ms
[2024-11-07T15:32:28.154] - client - INFO - 46 bytes from 54.197.223.49: time=50.60 ms
[2024-11-07T15:32:28.397] - client - INFO - 46 bytes from 54.197.223.49: time=42.40 ms
[2024-11-07T15:32:28.642] - client - INFO - 46 bytes from 54.197.223.49: time=42.97 ms
[2024-11-07T15:32:28.896] - client - INFO - 46 bytes from 54.197.223.49: time=51.52 ms
[2024-11-07T15:32:29.133] - client - INFO - 46 bytes from 54.197.223.49: time=35.98 ms
[2024-11-07T15:32:29.378] - client - INFO - 46 bytes from 54.197.223.49: time=43.93 ms
[2024-11-07T15:32:29.619] - client - INFO - 46 bytes from 54.197.223.49: time=38.95 ms
[2024-11-07T15:32:29.872] - client - INFO - 46 bytes from 54.197.223.49: time=50.87 ms
[2024-11-07T15:32:30.108] - client - INFO - 46 bytes from 54.197.223.49: time=35.68 ms
[2024-11-07T15:32:30.337] - client - INFO - 46 bytes from 54.197.223.49: time=27.68 ms
[2024-11-07T15:32:30.578] - client - INFO - 46 bytes from 54.197.223.49: time=39.42 ms
[2024-11-07T15:32:30.833] - client - INFO - 46 bytes from 54.197.223.49: time=55.16 ms
[2024-11-07T15:32:31.082] - client - INFO - 46 bytes from 54.197.223.49: time=46.67 ms
[2024-11-07T15:32:31.332] - client - INFO - 46 bytes from 54.197.223.49: time=49.74 ms
[2024-11-07T15:32:31.586] - client - INFO - 46 bytes from 54.197.223.49: time=52.99 ms
[2024-11-07T15:32:31.831] - client - INFO - 46 bytes from 54.197.223.49: time=43.84 ms
[2024-11-07T15:32:32.091] - client - INFO - 46 bytes from 54.197.223.49: time=58.88 ms
[2024-11-07T15:32:32.336] - client - INFO - 46 bytes from 54.197.223.49: time=43.16 ms
[2024-11-07T15:32:32.582] - client - INFO - 46 bytes from 54.197.223.49: time=44.08 ms
[2024-11-07T15:32:32.823] - client - INFO - 46 bytes from 54.197.223.49: time=40.78 ms
[2024-11-07T15:32:33.072] - client - INFO - 46 bytes from 54.197.223.49: time=47.36 ms
[2024-11-07T15:32:33.316] - client - INFO - 46 bytes from 54.197.223.49: time=43.00 ms
[2024-11-07T15:32:33.572] - client - INFO - 46 bytes from 54.197.223.49: time=54.76 ms
[2024-11-07T15:32:33.818] - client - INFO - 46 bytes from 54.197.223.49: time=44.96 ms
[2024-11-07T15:32:34.077] - client - INFO - 46 bytes from 54.197.223.49: time=58.16 ms
[2024-11-07T15:32:34.320] - client - INFO - 46 bytes from 54.197.223.49: time=41.23 ms
[2024-11-07T15:32:34.569] - client - INFO - 46 bytes from 54.197.223.49: time=47.06 ms
[2024-11-07T15:32:34.810] - client - INFO - 46 bytes from 54.197.223.49: time=39.93 ms
[2024-11-07T15:32:35.052] - client - INFO - 46 bytes from 54.197.223.49: time=41.49 ms
[2024-11-07T15:32:35.310] - client - INFO - 46 bytes from 54.197.223.49: time=57.44 ms
[2024-11-07T15:32:35.545] - client - INFO - 46 bytes from 54.197.223.49: time=33.89 ms
[2024-11-07T15:32:35.788] - client - INFO - 46 bytes from 54.197.223.49: time=42.77 ms
[2024-11-07T15:32:36.027] - client - INFO - 46 bytes from 54.197.223.49: time=36.40 ms
[2024-11-07T15:32:36.273] - client - INFO - 46 bytes from 54.197.223.49: time=44.28 ms
[2024-11-07T15:32:36.495] - client - INFO - 46 bytes from 54.197.223.49: time=21.81 ms
[2024-11-07T15:32:36.733] - client - INFO - 46 bytes from 54.197.223.49: time=36.35 ms
[2024-11-07T15:32:36.991] - client - INFO - 46 bytes from 54.197.223.49: time=56.01 ms
[2024-11-07T15:32:37.238] - client - INFO - 46 bytes from 54.197.223.49: time=45.40 ms
[2024-11-07T15:32:37.482] - client - INFO - 46 bytes from 54.197.223.49: time=42.78 ms
[2024-11-07T15:32:37.741] - client - INFO - 46 bytes from 54.197.223.49: time=58.50 ms
[2024-11-07T15:32:37.991] - client - INFO - 46 bytes from 54.197.223.49: time=48.43 ms
[2024-11-07T15:32:38.237] - client - INFO - 46 bytes from 54.197.223.49: time=44.97 ms
[2024-11-07T15:32:38.493] - client - INFO - 46 bytes from 54.197.223.49: time=53.85 ms
[2024-11-07T15:32:38.744] - client - INFO - 46 bytes from 54.197.223.49: time=50.92 ms
[2024-11-07T15:32:38.999] - client - INFO - 46 bytes from 54.197.223.49: time=54.29 ms
[2024-11-07T15:32:39.251] - client - INFO - 46 bytes from 54.197.223.49: time=50.49 ms
[2024-11-07T15:32:39.497] - client - INFO - 46 bytes from 54.197.223.49: time=44.89 ms
[2024-11-07T15:32:39.743] - client - INFO - 46 bytes from 54.197.223.49: time=44.73 ms
[2024-11-07T15:32:39.989] - client - INFO - 46 bytes from 54.197.223.49: time=45.28 ms
[2024-11-07T15:32:40.230] - client - INFO - 46 bytes from 54.197.223.49: time=40.75 ms
[2024-11-07T15:32:40.469] - client - INFO - 46 bytes from 54.197.223.49: time=36.98 ms
[2024-11-07T15:32:40.727] - client - INFO - 46 bytes from 54.197.223.49: time=55.57 ms
[2024-11-07T15:32:40.967] - client - INFO - 46 bytes from 54.197.223.49: time=38.20 ms
[2024-11-07T15:32:41.213] - client - INFO - 46 bytes from 54.197.223.49: time=45.37 ms
[2024-11-07T15:32:41.457] - client - INFO - 46 bytes from 54.197.223.49: time=43.73 ms
[2024-11-07T15:32:41.702] - client - INFO - 46 bytes from 54.197.223.49: time=43.04 ms
[2024-11-07T15:32:41.939] - client - INFO - 46 bytes from 54.197.223.49: time=34.86 ms
[2024-11-07T15:32:42.191] - client - INFO - 46 bytes from 54.197.223.49: time=50.23 ms
[2024-11-07T15:32:42.428] - client - INFO - 46 bytes from 54.197.223.49: time=36.10 ms
[2024-11-07T15:32:42.681] - client - INFO - 46 bytes from 54.197.223.49: time=52.06 ms
[2024-11-07T15:32:42.932] - client - INFO - 46 bytes from 54.197.223.49: time=48.43 ms
[2024-11-07T15:32:43.189] - client - INFO - 46 bytes from 54.197.223.49: time=56.40 ms
[2024-11-07T15:32:43.435] - client - INFO - 46 bytes from 54.197.223.49: time=44.37 ms
[2024-11-07T15:32:43.685] - client - INFO - 46 bytes from 54.197.223.49: time=49.33 ms
[2024-11-07T15:32:43.926] - client - INFO - 46 bytes from 54.197.223.49: time=40.03 ms
[2024-11-07T15:32:44.174] - client - INFO - 46 bytes from 54.197.223.49: time=46.65 ms
[2024-11-07T15:32:44.414] - client - INFO - 46 bytes from 54.197.223.49: time=39.33 ms
[2024-11-07T15:32:44.657] - client - INFO - 46 bytes from 54.197.223.49: time=40.15 ms
[2024-11-07T15:32:44.886] - client - INFO - 46 bytes from 54.197.223.49: time=27.62 ms
[2024-11-07T15:32:45.122] - client - INFO - 46 bytes from 54.197.223.49: time=34.85 ms
[2024-11-07T15:32:45.366] - client - INFO - 46 bytes from 54.197.223.49: time=43.26 ms
[2024-11-07T15:32:45.616] - client - INFO - 46 bytes from 54.197.223.49: time=49.63 ms
[2024-11-07T15:32:45.867] - client - INFO - 46 bytes from 54.197.223.49: time=49.26 ms
[2024-11-07T15:32:46.102] - client - INFO - 46 bytes from 54.197.223.49: time=34.07 ms
[2024-11-07T15:32:46.342] - client - INFO - 46 bytes from 54.197.223.49: time=38.63 ms
[2024-11-07T15:32:46.581] - client - INFO - 46 bytes from 54.197.223.49: time=36.99 ms
[2024-11-07T15:32:46.826] - client - INFO - 46 bytes from 54.197.223.49: time=44.70 ms
[2024-11-07T15:32:47.061] - client - INFO - 46 bytes from 54.197.223.49: time=34.35 ms
[2024-11-07T15:32:47.307] - client - INFO - 46 bytes from 54.197.223.49: time=42.46 ms
[2024-11-07T15:32:47.541] - client - INFO - 46 bytes from 54.197.223.49: time=33.73 ms
[2024-11-07T15:32:47.786] - client - INFO - 46 bytes from 54.197.223.49: time=44.81 ms
[2024-11-07T15:32:48.033] - client - INFO - 46 bytes from 54.197.223.49: time=44.88 ms
[2024-11-07T15:32:48.281] - client - INFO - 46 bytes from 54.197.223.49: time=46.30 ms
[2024-11-07T15:32:48.537] - client - INFO - 46 bytes from 54.197.223.49: time=55.51 ms
[2024-11-07T15:32:48.790] - client - INFO - 46 bytes from 54.197.223.49: time=52.07 ms
[2024-11-07T15:32:49.040] - client - INFO - 46 bytes from 54.197.223.49: time=48.38 ms
