Start time: 1731100161173
[2024-11-08T16:09:22.230306-0500] nuttcp-t: v8.1.4: socket
[2024-11-08T16:09:22.231219-0500] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 54.197.223.49
[2024-11-08T16:09:22.231308-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-08T16:09:22.231370-0500] nuttcp-t: connect to 54.197.223.49 with mss=1376, RTT=63.860 ms af=inet
[2024-11-08T16:09:22.231441-0500] nuttcp-t: send window size = 1048576, receive window size = 4194304
[2024-11-08T16:09:22.231496-0500] nuttcp-t: available send window = 786432, available receive window = 3145728
[2024-11-08T16:09:22.231550-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-08T16:09:22.231605-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T16:09:22.231658-0500] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-08T16:09:22.231712-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T16:09:22.231767-0500] nuttcp-r: accept from 174.234.115.22 with af=inet
[2024-11-08T16:09:22.231819-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-08T16:09:22.231873-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-08T16:09:22.231945-0500]     0.2500 MB /   0.50 sec =    4.1936 Mbps     0 retrans    307 KB-cwnd
[2024-11-08T16:09:23.010280-0500]     0.3750 MB /   0.50 sec =    6.2904 Mbps     0 retrans    885 KB-cwnd
[2024-11-08T16:09:23.732967-0500]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans   1189 KB-cwnd
[2024-11-08T16:09:23.733380-0500]     0.4375 MB /   0.50 sec =    7.3420 Mbps     0 retrans   1189 KB-cwnd
[2024-11-08T16:09:24.581651-0500]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans   1189 KB-cwnd
[2024-11-08T16:09:25.221751-0500]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans   1209 KB-cwnd
[2024-11-08T16:09:25.222302-0500]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans   1209 KB-cwnd
[2024-11-08T16:09:25.854402-0500]     0.5625 MB /   0.50 sec =    9.4353 Mbps     0 retrans   1241 KB-cwnd
[2024-11-08T16:09:26.453083-0500]     0.5000 MB /   0.50 sec =    8.3904 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:27.068314-0500]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:27.738652-0500]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:27.739148-0500]     0.5000 MB /   0.50 sec =    8.3881 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:28.461896-0500]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:29.012398-0500]     0.4375 MB /   0.50 sec =    7.3404 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:29.517466-0500]     0.6875 MB /   0.50 sec =   11.5345 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:30.184717-0500]     0.5625 MB /   0.50 sec =    9.4371 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:30.861686-0500]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:30.861851-0500]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:31.658852-0500]     0.5000 MB /   0.50 sec =    8.3889 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:32.364351-0500]     0.4375 MB /   0.50 sec =    7.3398 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:32.365162-0500]     0.5000 MB /   0.50 sec =    8.3881 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:33.093450-0500]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:33.883753-0500]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:33.884346-0500]     0.4375 MB /   0.50 sec =    7.3341 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:34.789662-0500]     0.4375 MB /   0.50 sec =    7.3462 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:34.790364-0500]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:35.659221-0500]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:36.466474-0500]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:36.467010-0500]     0.4375 MB /   0.50 sec =    7.3386 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:37.232993-0500]     0.3750 MB /   0.50 sec =    6.2926 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:37.233708-0500]     0.5000 MB /   0.50 sec =    8.3849 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:37.955561-0500]     0.4375 MB /   0.50 sec =    7.3430 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:38.768013-0500]     0.4375 MB /   0.50 sec =    7.3403 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:38.768686-0500]     0.3750 MB /   0.50 sec =    6.2909 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:39.807312-0500]     0.3125 MB /   0.50 sec =    5.2434 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:39.807928-0500]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:40.817631-0500]     0.3125 MB /   0.50 sec =    5.2422 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:40.818380-0500]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:42.006714-0500]     0.3750 MB /   0.50 sec =    6.2919 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:42.007398-0500]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:42.960567-0500]     0.3125 MB /   0.50 sec =    5.2426 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:42.960729-0500]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:43.780401-0500]     0.3750 MB /   0.50 sec =    6.2909 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:43.780996-0500]     0.3750 MB /   0.50 sec =    6.2921 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:44.583458-0500]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:45.411289-0500]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:45.411876-0500]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:46.116586-0500]     0.5000 MB /   0.50 sec =    8.3885 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:46.774701-0500]     0.5000 MB /   0.50 sec =    8.3885 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:46.775260-0500]     0.5000 MB /   0.50 sec =    8.3887 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:47.539610-0500]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:48.650443-0500]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:48.650962-0500]     0.3125 MB /   0.50 sec =    5.2253 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:49.390352-0500]     0.3125 MB /   0.50 sec =    5.2607 Mbps     0 retrans   1281 KB-cwnd
[2024-11-08T16:09:49.390881-0500]     0.3750 MB /   0.50 sec =    6.2899 Mbps     0 retrans   1281 KB-cwnd
